,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,Men Estimate,Men Percent of total,Women Estimate,Women Percent of total,Poverty universe,Below poverty level Estimate,Below poverty level Percent of total
114,FL-27,FL,Florida,27,464604,222276,47.8,242328,52.2,457395,51044,11.2
115,GA-1,GA,Georgia,1,550713,265885,48.3,284828,51.7,528280,70331,13.3
116,GA-2,GA,Georgia,2,498322,237183,47.6,261139,52.4,464769,98551,21.2
117,GA-3,GA,Georgia,3,548941,261012,47.5,287929,52.5,537649,65079,12.1
118,GA-4,GA,Georgia,4,527938,243040,46.0,284898,54.0,523057,51138,9.8
119,GA-5,GA,Georgia,5,587385,276291,47.0,311094,53.0,551428,88065,16.0
120,GA-6,GA,Georgia,6,496468,243742,49.1,252726,50.9,493937,22372,4.5
121,GA-7,GA,Georgia,7,486845,226855,46.6,259990,53.4,482823,34298,7.1
122,GA-8,GA,Georgia,8,527338,251135,47.6,276203,52.4,508862,92521,18.2
123,GA-9,GA,Georgia,9,556967,270985,48.7,285982,51.3,545726,56373,10.3
124,GA-10,GA,Georgia,10,565803,272442,48.2,293361,51.8,542122,71163,13.1
125,GA-11,GA,Georgia,11,559687,265122,47.4,294565,52.6,548550,44203,8.1
126,GA-12,GA,Georgia,12,540482,263096,48.7,277386,51.3,507512,83972,16.5
127,GA-13,GA,Georgia,13,523476,234458,44.8,289018,55.2,518694,43146,8.3
128,GA-14,GA,Georgia,14,516434,247683,48.0,268751,52.0,504547,57895,11.5
129,HI-1,HI,Hawaii,1,509992,259092,50.8,250900,49.2,495018,31466,6.4
130,HI-2,HI,Hawaii,2,506514,254001,50.1,252513,49.9,491721,43163,8.8
131,ID-1,ID,Idaho,1,661724,327753,49.5,333971,50.5,646145,62534,9.7
132,ID-2,ID,Idaho,2,590690,295212,50.0,295478,50.0,582159,68775,11.8
133,IL-1,IL,Illinois,1,524114,239139,45.6,284975,54.4,514916,74766,14.5
134,IL-2,IL,Illinois,2,497132,220603,44.4,276529,55.6,489594,77321,15.8
135,IL-3,IL,Illinois,3,479004,239389,50.0,239615,50.0,470227,40182,8.5
136,IL-4,IL,Illinois,4,410804,198815,48.4,211989,51.6,408610,43427,10.6
137,IL-5,IL,Illinois,5,545831,264796,48.5,281035,51.5,536884,38711,7.2
138,IL-6,IL,Illinois,6,523796,256062,48.9,267734,51.1,515795,25904,5.0
139,IL-7,IL,Illinois,7,522767,245563,47.0,277204,53.0,499676,89468,17.9
140,IL-8,IL,Illinois,8,442009,210434,47.6,231575,52.4,437858,27635,6.3
141,IL-9,IL,Illinois,9,498242,242188,48.6,256054,51.4,482383,49348,10.2
142,IL-10,IL,Illinois,10,468255,228987,48.9,239268,51.1,449762,31798,7.1
143,IL-11,IL,Illinois,11,472244,230365,48.8,241879,51.2,466570,30188,6.5
144,IL-12,IL,Illinois,12,528398,258312,48.9,270086,51.1,510485,72726,14.2
145,IL-13,IL,Illinois,13,539012,262945,48.8,276067,51.2,503603,81940,16.3
146,IL-14,IL,Illinois,14,525729,258410,49.2,267319,50.8,523009,22704,4.3
147,IL-15,IL,Illinois,15,532371,263271,49.5,269100,50.5,509784,63091,12.4
148,IL-16,IL,Illinois,16,520730,258813,49.7,261917,50.3,504555,45055,8.9
149,IL-17,IL,Illinois,17,512994,250502,48.8,262492,51.2,492760,66654,13.5
150,IL-18,IL,Illinois,18,531334,256746,48.3,274588,51.7,513739,50132,9.8
151,IN-1,IN,Indiana,1,537218,259331,48.3,277887,51.7,522771,58981,11.3
152,IN-2,IN,Indiana,2,522778,254316,48.6,268462,51.4,503831,55923,11.1
153,IN-3,IN,Indiana,3,540022,263081,48.7,276941,51.3,529139,47924,9.1
154,IN-4,IN,Indiana,4,567094,281136,49.6,285958,50.4,541335,57075,10.5
155,IN-5,IN,Indiana,5,573500,273289,47.7,300211,52.3,559314,45920,8.2
156,IN-6,IN,Indiana,6,549035,267782,48.8,281253,51.2,529878,67700,12.8
157,IN-7,IN,Indiana,7,521076,242838,46.6,278238,53.4,509529,77616,15.2
158,IN-8,IN,Indiana,8,549149,270738,49.3,278411,50.7,525125,62903,12.0
159,IN-9,IN,Indiana,9,575308,279976,48.7,295332,51.3,553531,64247,11.6
160,IA-1,IA,Iowa,1,580187,284027,49.0,296160,51.0,558232,56396,10.1
161,IA-2,IA,Iowa,2,581525,284369,48.9,297156,51.1,560199,62112,11.1
162,IA-3,IA,Iowa,3,601044,292105,48.6,308939,51.4,588009,51444,8.7
163,IA-4,IA,Iowa,4,564463,278749,49.4,285714,50.6,536367,55271,10.3
164,KS-1,KS,Kansas,1,502712,254352,50.6,248360,49.4,474980,57226,12.0
165,KS-2,KS,Kansas,2,538594,266041,49.4,272553,50.6,513794,70225,13.7
166,KS-3,KS,Kansas,3,534532,258428,48.3,276104,51.7,529568,31937,6.0
167,KS-4,KS,Kansas,4,515676,253444,49.1,262232,50.9,503367,54144,10.8
168,KY-1,KY,Kentucky,1,552530,269167,48.7,283363,51.3,528102,82046,15.5
169,KY-2,KY,Kentucky,2,577362,282075,48.9,295287,51.1,557689,78440,14.1
170,KY-3,KY,Kentucky,3,553926,261136,47.1,292790,52.9,541159,68708,12.7
171,KY-4,KY,Kentucky,4,565232,277020,49.0,288212,51.0,551490,55545,10.1
172,KY-5,KY,Kentucky,5,537877,263796,49.0,274081,51.0,517228,124355,24.0
173,KY-6,KY,Kentucky,6,581992,279091,48.0,302901,52.0,560860,74703,13.3
174,LA-1,LA,Louisiana,1,594231,282992,47.6,311239,52.4,582654,66838,11.5
175,LA-2,LA,Louisiana,2,587115,273178,46.5,313937,53.5,567296,113301,20.0
