Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CA,California,8," 477,512 "," 10,385 "," 109,039 "," 5,555 ", 22.8 , 1.0 ," 117,970 "," 5,105 ", 24.7 , 1.0 ," 157,700 "," 6,221 ", 33.0 , 1.0 ," 92,803 "," 3,751 ", 19.4 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CA,California,9," 482,967 "," 8,819 "," 109,840 "," 5,368 ", 22.7 , 1.0 ," 115,502 "," 5,330 ", 23.9 , 1.1 ," 162,695 "," 5,286 ", 33.7 , 1.0 ," 94,930 "," 4,584 ", 19.7 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CA,California,10," 493,409 "," 7,043 "," 120,037 "," 3,797 ", 24.3 , 0.7 ," 126,032 "," 4,686 ", 25.5 , 0.8 ," 155,323 "," 3,904 ", 31.5 , 0.7 ," 92,017 "," 2,832 ", 18.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CA,California,11," 508,963 "," 9,040 "," 94,457 "," 4,983 ", 18.6 , 0.9 ," 118,438 "," 4,859 ", 23.3 , 0.8 ," 178,718 "," 5,157 ", 35.1 , 0.9 ," 117,350 "," 3,674 ", 23.1 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CA,California,12," 571,300 "," 7,542 "," 115,725 "," 4,667 ", 20.3 , 0.7 ," 185,209 "," 4,395 ", 32.4 , 0.7 ," 161,917 "," 4,179 ", 28.3 , 0.6 ," 108,449 "," 2,310 ", 19.0 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CA,California,13," 536,892 "," 6,882 "," 124,347 "," 4,666 ", 23.2 , 0.7 ," 153,682 "," 5,144 ", 28.6 , 0.9 ," 158,802 "," 4,413 ", 29.6 , 0.8 ," 100,061 "," 3,781 ", 18.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CA,California,14," 511,049 "," 8,400 "," 98,885 "," 5,667 ", 19.3 , 0.9 ," 125,040 "," 4,411 ", 24.5 , 0.8 ," 171,998 "," 4,919 ", 33.7 , 0.8 ," 115,126 "," 3,942 ", 22.5 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CA,California,15," 503,361 "," 8,070 "," 92,013 "," 4,754 ", 18.3 , 0.9 ," 134,040 "," 5,781 ", 26.6 , 1.1 ," 179,479 "," 5,567 ", 35.7 , 0.9 ," 97,829 "," 4,579 ", 19.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CA,California,16," 423,147 "," 10,984 "," 127,642 "," 6,314 ", 30.2 , 1.2 ," 108,432 "," 5,479 ", 25.6 , 1.0 ," 117,889 "," 4,736 ", 27.9 , 0.9 ," 69,184 "," 2,840 ", 16.3 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CA,California,17," 438,374 "," 13,412 "," 86,540 "," 5,904 ", 19.7 , 1.1 ," 103,893 "," 5,625 ", 23.7 , 1.1 ," 162,474 "," 6,539 ", 37.1 , 1.1 ," 85,467 "," 4,716 ", 19.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CA,California,18," 491,580 "," 9,611 "," 84,672 "," 5,044 ", 17.2 , 1.0 ," 111,547 "," 5,704 ", 22.7 , 1.1 ," 186,221 "," 6,347 ", 37.9 , 0.9 ," 109,140 "," 4,314 ", 22.2 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CA,California,19," 482,363 "," 9,857 "," 110,244 "," 5,260 ", 22.9 , 1.0 ," 120,200 "," 5,874 ", 24.9 , 1.1 ," 159,427 "," 5,328 ", 33.1 , 0.9 ," 92,492 "," 3,735 ", 19.2 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CA,California,20," 434,889 "," 8,953 "," 113,595 "," 4,679 ", 26.1 , 0.8 ," 100,241 "," 4,313 ", 23.0 , 0.8 ," 129,619 "," 4,416 ", 29.8 , 0.8 ," 91,434 "," 2,791 ", 21.0 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CA,California,21," 354,669 "," 11,267 "," 112,192 "," 5,357 ", 31.6 , 1.2 ," 95,934 "," 5,882 ", 27.0 , 1.4 ," 94,483 "," 5,771 ", 26.6 , 1.3 ," 52,060 "," 3,502 ", 14.7 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CA,California,22," 483,064 "," 10,845 "," 121,739 "," 5,627 ", 25.2 , 0.8 ," 123,766 "," 4,975 ", 25.6 , 0.9 ," 144,754 "," 4,846 ", 30.0 , 0.7 ," 92,805 "," 3,481 ", 19.2 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CA,California,23," 490,446 "," 10,566 "," 114,763 "," 5,828 ", 23.4 , 1.0 ," 124,203 "," 4,607 ", 25.3 , 0.9 ," 159,160 "," 5,739 ", 32.5 , 0.9 ," 92,320 "," 4,176 ", 18.8 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CA,California,24," 508,333 "," 5,576 "," 143,040 "," 3,095 ", 28.1 , 0.5 ," 96,005 "," 3,134 ", 18.9 , 0.5 ," 147,344 "," 3,174 ", 29.0 , 0.6 ," 121,944 "," 1,493 ", 24.0 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CA,California,25," 482,964 "," 10,876 "," 103,999 "," 6,215 ", 21.5 , 1.1 ," 115,475 "," 6,057 ", 23.9 , 1.2 ," 175,776 "," 5,989 ", 36.4 , 1.0 ," 87,714 "," 4,903 ", 18.2 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CA,California,26," 480,928 "," 6,034 "," 107,880 "," 3,084 ", 22.4 , 0.6 ," 105,706 "," 4,374 ", 22.0 , 0.8 ," 162,047 "," 3,890 ", 33.7 , 0.8 ," 105,295 "," 2,314 ", 21.9 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CA,California,27," 471,963 "," 11,108 "," 86,706 "," 5,621 ", 18.4 , 1.0 ," 108,732 "," 5,456 ", 23.0 , 1.2 ," 159,649 "," 6,152 ", 33.8 , 0.9 ," 116,876 "," 6,237 ", 24.8 , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CA,California,28," 502,971 "," 13,353 "," 99,507 "," 6,085 ", 19.8 , 1.0 ," 139,517 "," 7,382 ", 27.7 , 1.2 ," 166,073 "," 6,738 ", 33.0 , 1.2 ," 97,874 "," 5,020 ", 19.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CA,California,29," 402,898 "," 11,545 "," 111,823 "," 5,915 ", 27.8 , 1.1 ," 101,568 "," 5,619 ", 25.2 , 1.2 ," 119,181 "," 5,527 ", 29.6 , 1.2 ," 70,326 "," 4,332 ", 17.5 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CA,California,30," 529,846 "," 14,610 "," 113,793 "," 7,651 ", 21.5 , 1.2 ," 130,676 "," 7,750 ", 24.7 , 1.2 ," 174,660 "," 7,066 ", 33.0 , 1.0 ," 110,717 "," 4,893 ", 20.9 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CA,California,31," 482,081 "," 9,659 "," 128,989 "," 5,873 ", 26.8 , 1.1 ," 127,282 "," 5,502 ", 26.4 , 1.1 ," 146,719 "," 6,812 ", 30.4 , 1.2 ," 79,091 "," 4,412 ", 16.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CA,California,32," 449,452 "," 11,398 "," 116,658 "," 6,162 ", 26.0 , 1.2 ," 107,883 "," 5,087 ", 24.0 , 1.1 ," 139,777 "," 6,506 ", 31.1 , 1.2 ," 85,134 "," 5,251 ", 18.9 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CA,California,33," 517,251 "," 10,427 "," 99,299 "," 6,033 ", 19.2 , 1.0 ," 122,449 "," 5,260 ", 23.7 , 1.0 ," 167,981 "," 5,792 ", 32.5 , 1.0 ," 127,522 "," 5,258 ", 24.7 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CA,California,34," 425,520 "," 11,922 "," 117,797 "," 5,552 ", 27.7 , 1.1 ," 122,307 "," 6,508 ", 28.7 , 1.3 ," 109,068 "," 5,863 ", 25.6 , 1.1 ," 76,348 "," 4,212 ", 17.9 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CA,California,35," 450,565 "," 12,666 "," 146,833 "," 7,258 ", 32.6 , 1.2 ," 115,997 "," 5,609 ", 25.7 , 1.2 ," 125,573 "," 5,706 ", 27.9 , 0.9 ," 62,162 "," 4,071 ", 13.8 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CA,California,36," 536,333 "," 9,648 "," 95,867 "," 4,707 ", 17.9 , 0.9 ," 111,759 "," 5,079 ", 20.8 , 0.9 ," 170,439 "," 6,331 ", 31.8 , 1.0 ," 158,268 "," 6,354 ", 29.5 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CA,California,37," 468,463 "," 13,452 "," 129,241 "," 8,208 ", 27.6 , 1.3 ," 118,145 "," 5,515 ", 25.2 , 1.0 ," 136,694 "," 5,375 ", 29.2 , 1.0 ," 84,383 "," 4,567 ", 18.0 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CA,California,38," 481,296 "," 10,991 "," 116,734 "," 6,337 ", 24.3 , 1.1 ," 115,644 "," 5,278 ", 24.0 , 1.1 ," 152,188 "," 6,944 ", 31.6 , 1.2 ," 96,730 "," 4,942 ", 20.1 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CA,California,39," 486,713 "," 10,190 "," 112,813 "," 6,257 ", 23.2 , 1.2 ," 110,244 "," 5,535 ", 22.7 , 1.0 ," 161,474 "," 5,947 ", 33.2 , 1.1 ," 102,182 "," 5,836 ", 21.0 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CA,California,40," 340,435 "," 9,624 "," 117,561 "," 5,502 ", 34.5 , 1.4 ," 88,081 "," 4,930 ", 25.9 , 1.2 ," 86,405 "," 4,376 ", 25.4 , 1.1 ," 48,388 "," 4,137 ", 14.2 , 1.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CA,California,41," 478,613 "," 8,532 "," 154,274 "," 6,594 ", 32.2 , 1.2 ," 126,217 "," 5,315 ", 26.4 , 1.1 ," 132,970 "," 5,468 ", 27.8 , 1.0 ," 65,152 "," 4,610 ", 13.6 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CA,California,42," 538,265 "," 9,226 "," 122,803 "," 6,056 ", 22.8 , 1.0 ," 145,881 "," 6,071 ", 27.1 , 1.1 ," 177,568 "," 5,224 ", 33.0 , 0.8 ," 92,013 "," 5,193 ", 17.1 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CA,California,43," 454,185 "," 11,440 "," 114,853 "," 6,789 ", 25.3 , 1.2 ," 115,255 "," 6,009 ", 25.4 , 1.2 ," 142,409 "," 6,116 ", 31.4 , 1.2 ," 81,668 "," 4,903 ", 18.0 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CA,California,44," 395,819 "," 8,661 "," 115,574 "," 5,092 ", 29.2 , 1.0 ," 110,263 "," 5,325 ", 27.9 , 1.2 ," 108,537 "," 4,864 ", 27.4 , 1.1 ," 61,445 "," 3,478 ", 15.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CA,California,45," 532,802 "," 12,285 "," 110,235 "," 5,848 ", 20.7 , 0.9 ," 119,202 "," 6,634 ", 22.4 , 1.1 ," 187,676 "," 6,330 ", 35.2 , 1.1 ," 115,689 "," 4,872 ", 21.7 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CA,California,46," 408,633 "," 10,145 "," 130,145 "," 6,155 ", 31.8 , 1.2 ," 103,298 "," 5,649 ", 25.3 , 1.3 ," 111,682 "," 5,036 ", 27.3 , 1.0 ," 63,508 "," 3,917 ", 15.5 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CA,California,47," 491,712 "," 10,923 "," 114,807 "," 6,192 ", 23.3 , 1.1 ," 124,261 "," 6,524 ", 25.3 , 1.2 ," 166,891 "," 6,432 ", 33.9 , 1.2 ," 85,753 "," 4,354 ", 17.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CA,California,48," 529,832 "," 8,764 "," 103,313 "," 6,069 ", 19.5 , 1.0 ," 113,213 "," 4,833 ", 21.4 , 0.9 ," 190,245 "," 5,550 ", 35.9 , 0.9 ," 123,061 "," 4,460 ", 23.2 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CA,California,49," 519,302 "," 10,212 "," 111,660 "," 7,630 ", 21.5 , 1.4 ," 112,832 "," 6,553 ", 21.7 , 1.2 ," 178,059 "," 6,302 ", 34.3 , 1.2 ," 116,751 "," 6,123 ", 22.5 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CA,California,50," 513,522 "," 11,367 "," 113,483 "," 7,682 ", 22.1 , 1.3 ," 123,333 "," 5,550 ", 24.0 , 1.0 ," 169,884 "," 6,064 ", 33.1 , 1.0 ," 106,822 "," 5,124 ", 20.8 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
