Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , 18-29 Age Estimate , 18-29 Age  Margin of error (MOE) , Age 18-29 Percent of total , 18-29 Age Percent of total margin of error (MOE) , 30-44 Age Estimate , 30-44 Age Margin of error (MOE) , 30-44 Age Percent of total , 30-44 Age Percent of total margin of error (MOE) , 45-64 Age Estimate , 45-64 Age Margin of error (MOE) , 45-64 Age Percent of total , 45-64 Age Percent of total margin of error (MOE) , 65+ Age Estimate , 65+ Age Margin of error (MOE) , 65+ Age Percent of total , 65+ Age Percent of total margin of error (MOE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,IL,Illinois,14," 525,729 "," 7,412 "," 91,105 "," 5,179 ", 17.3 , 0.9 ," 132,209 "," 5,146 ", 25.1 , 0.9 ," 201,495 "," 4,740 ", 38.3 , 0.9 ," 100,920 "," 4,247 ", 19.2 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,IL,Illinois,15," 532,371 "," 4,362 "," 95,218 "," 2,174 ", 17.9 , 0.4 ," 121,442 "," 2,750 ", 22.8 , 0.5 ," 182,004 "," 3,206 ", 34.2 , 0.5 ," 133,707 "," 2,419 ", 25.1 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,IL,Illinois,16," 520,730 "," 4,681 "," 103,375 "," 3,078 ", 19.9 , 0.5 ," 109,416 "," 3,083 ", 21.0 , 0.5 ," 184,379 "," 3,035 ", 35.4 , 0.6 ," 123,560 "," 2,241 ", 23.7 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,IL,Illinois,17," 512,994 "," 5,263 "," 101,060 "," 2,763 ", 19.7 , 0.5 ," 111,726 "," 3,039 ", 21.8 , 0.5 ," 174,240 "," 3,138 ", 34.0 , 0.5 ," 125,968 "," 2,410 ", 24.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,IL,Illinois,18," 531,334 "," 6,741 "," 95,626 "," 3,702 ", 18.0 , 0.6 ," 121,408 "," 3,489 ", 22.8 , 0.6 ," 181,679 "," 3,411 ", 34.2 , 0.5 ," 132,621 "," 2,687 ", 25.0 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,IN,Indiana,1," 537,218 "," 2,969 "," 106,269 "," 1,657 ", 19.8 , 0.3 ," 125,653 "," 2,312 ", 23.4 , 0.4 ," 188,611 "," 2,257 ", 35.1 , 0.4 ," 116,685 "," 1,616 ", 21.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,IN,Indiana,2," 522,778 "," 3,982 "," 110,898 "," 2,210 ", 21.2 , 0.4 ," 118,188 "," 2,293 ", 22.6 , 0.4 ," 175,795 "," 2,541 ", 33.6 , 0.4 ," 117,897 "," 1,872 ", 22.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,IN,Indiana,3," 540,022 "," 2,746 "," 111,370 "," 1,508 ", 20.6 , 0.3 ," 129,229 "," 2,038 ", 23.9 , 0.3 ," 184,607 "," 2,011 ", 34.2 , 0.3 ," 114,816 "," 1,224 ", 21.3 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,IN,Indiana,4," 567,094 "," 4,245 "," 133,208 "," 2,676 ", 23.5 , 0.4 ," 127,470 "," 3,077 ", 22.5 , 0.5 ," 189,264 "," 3,276 ", 33.4 , 0.5 ," 117,152 "," 1,894 ", 20.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,IN,Indiana,5," 573,500 "," 6,937 "," 111,187 "," 4,311 ", 19.4 , 0.7 ," 147,605 "," 4,640 ", 25.7 , 0.7 ," 199,662 "," 4,139 ", 34.8 , 0.6 ," 115,046 "," 2,960 ", 20.1 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,IN,Indiana,6," 549,035 "," 2,722 "," 115,411 "," 1,554 ", 21.0 , 0.3 ," 116,898 "," 2,005 ", 21.3 , 0.4 ," 189,917 "," 1,695 ", 34.6 , 0.3 ," 126,809 "," 1,845 ", 23.1 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,IN,Indiana,7," 521,076 "," 6,956 "," 128,612 "," 5,060 ", 24.7 , 0.8 ," 133,507 "," 4,492 ", 25.6 , 0.8 ," 167,449 "," 4,128 ", 32.1 , 0.8 ," 91,508 "," 2,559 ", 17.6 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,IN,Indiana,8," 549,149 "," 2,287 "," 110,466 "," 1,477 ", 20.1 , 0.2 ," 125,872 "," 1,978 ", 22.9 , 0.4 ," 188,624 "," 2,134 ", 34.3 , 0.4 ," 124,187 "," 1,412 ", 22.6 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,IN,Indiana,9," 575,308 "," 3,657 "," 132,059 "," 2,723 ", 23.0 , 0.4 ," 135,378 "," 3,381 ", 23.5 , 0.6 ," 189,052 "," 3,034 ", 32.9 , 0.5 ," 118,819 "," 1,898 ", 20.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,IA,Iowa,1," 580,187 "," 2,876 "," 120,677 "," 1,601 ", 20.8 , 0.2 ," 129,269 "," 2,017 ", 22.3 , 0.3 ," 191,851 "," 1,608 ", 33.1 , 0.3 ," 138,390 ", 947 , 23.9 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,IA,Iowa,2," 581,525 "," 2,670 "," 126,756 "," 1,625 ", 21.8 , 0.3 ," 130,205 "," 2,176 ", 22.4 , 0.3 ," 191,051 "," 1,832 ", 32.9 , 0.3 ," 133,513 "," 1,157 ", 23.0 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,IA,Iowa,3," 601,044 "," 3,898 "," 121,087 "," 1,932 ", 20.1 , 0.3 ," 155,881 "," 2,522 ", 25.9 , 0.3 ," 201,136 "," 2,004 ", 33.5 , 0.3 ," 122,940 ", 904 , 20.5 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,IA,Iowa,4," 564,463 "," 2,859 "," 122,947 "," 1,898 ", 21.8 , 0.3 ," 118,353 "," 1,731 ", 21.0 , 0.3 ," 182,759 "," 2,107 ", 32.4 , 0.3 ," 140,404 "," 1,127 ", 24.9 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,KS,Kansas,1," 502,712 "," 3,509 "," 127,140 "," 2,510 ", 25.3 , 0.4 ," 106,367 "," 2,138 ", 21.2 , 0.4 ," 154,679 "," 2,494 ", 30.8 , 0.4 ," 114,526 "," 1,763 ", 22.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,KS,Kansas,2," 538,594 "," 2,980 "," 119,299 "," 2,407 ", 22.2 , 0.4 ," 123,546 "," 2,154 ", 22.9 , 0.4 ," 172,970 "," 2,470 ", 32.1 , 0.5 ," 122,779 "," 2,034 ", 22.8 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,KS,Kansas,3," 534,532 "," 3,744 "," 103,498 "," 2,023 ", 19.4 , 0.3 ," 139,817 "," 2,189 ", 26.2 , 0.3 ," 184,931 "," 1,617 ", 34.6 , 0.3 ," 106,286 "," 1,013 ", 19.9 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,KS,Kansas,4," 515,676 "," 3,192 "," 107,482 "," 1,887 ", 20.8 , 0.3 ," 122,563 "," 2,410 ", 23.8 , 0.4 ," 172,400 "," 1,810 ", 33.4 , 0.4 ," 113,231 "," 1,046 ", 22.0 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,KY,Kentucky,1," 552,530 "," 3,169 "," 112,558 "," 2,433 ", 20.4 , 0.4 ," 119,362 "," 2,282 ", 21.6 , 0.4 ," 187,927 "," 2,755 ", 34.0 , 0.4 ," 132,683 "," 1,848 ", 24.0 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,KY,Kentucky,2," 577,362 "," 4,615 "," 121,167 "," 2,701 ", 21.0 , 0.4 ," 134,374 "," 2,441 ", 23.3 , 0.4 ," 198,804 "," 3,186 ", 34.4 , 0.5 ," 123,017 "," 2,213 ", 21.3 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,KY,Kentucky,3," 553,926 "," 3,786 "," 117,509 "," 1,460 ", 21.2 , 0.2 ," 132,285 "," 2,245 ", 23.9 , 0.3 ," 185,157 "," 2,087 ", 33.4 , 0.3 ," 118,975 "," 1,209 ", 21.5 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,KY,Kentucky,4," 565,232 "," 4,216 "," 109,560 "," 3,071 ", 19.4 , 0.5 ," 137,967 "," 2,192 ", 24.4 , 0.4 ," 201,182 "," 3,097 ", 35.6 , 0.5 ," 116,523 "," 1,690 ", 20.6 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,KY,Kentucky,5," 537,877 "," 3,689 "," 102,630 "," 2,473 ", 19.1 , 0.4 ," 123,765 "," 1,917 ", 23.0 , 0.4 ," 189,523 "," 2,226 ", 35.2 , 0.3 ," 121,959 "," 2,067 ", 22.7 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,KY,Kentucky,6," 581,992 "," 4,750 "," 139,582 "," 2,640 ", 24.0 , 0.4 ," 135,939 "," 2,648 ", 23.4 , 0.5 ," 192,089 "," 3,062 ", 33.0 , 0.4 ," 114,382 "," 2,494 ", 19.7 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,LA,Louisiana,1," 594,231 "," 7,375 "," 118,153 "," 3,746 ", 19.9 , 0.5 ," 143,712 "," 4,577 ", 24.2 , 0.7 ," 203,742 "," 4,057 ", 34.3 , 0.6 ," 128,624 "," 3,308 ", 21.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LA,Louisiana,2," 587,115 "," 8,471 "," 124,974 "," 4,926 ", 21.3 , 0.7 ," 151,730 "," 4,277 ", 25.8 , 0.7 ," 196,900 "," 4,572 ", 33.5 , 0.7 ," 113,511 "," 3,965 ", 19.3 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,LA,Louisiana,3," 577,604 "," 2,928 "," 122,302 "," 2,531 ", 21.2 , 0.4 ," 146,926 "," 2,595 ", 25.4 , 0.4 ," 193,990 "," 2,868 ", 33.6 , 0.5 ," 114,386 "," 1,538 ", 19.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,LA,Louisiana,4," 559,310 "," 2,947 "," 119,926 "," 2,412 ", 21.4 , 0.4 ," 138,312 "," 3,263 ", 24.7 , 0.6 ," 178,958 "," 2,829 ", 32.0 , 0.5 ," 122,114 "," 1,785 ", 21.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,LA,Louisiana,5," 555,804 "," 4,901 "," 113,240 "," 2,839 ", 20.4 , 0.5 ," 138,593 "," 3,592 ", 24.9 , 0.6 ," 182,823 "," 3,631 ", 32.9 , 0.6 ," 121,148 "," 2,394 ", 21.8 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,LA,Louisiana,6," 585,015 "," 7,251 "," 138,843 "," 4,363 ", 23.7 , 0.7 ," 145,438 "," 4,690 ", 24.9 , 0.7 ," 186,354 "," 4,802 ", 31.9 , 0.7 ," 114,380 "," 3,041 ", 19.6 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,ME,Maine,1," 546,625 "," 3,606 "," 91,423 "," 1,564 ", 16.7 , 0.3 ," 120,900 "," 2,526 ", 22.1 , 0.4 ," 196,768 "," 2,427 ", 36.0 , 0.4 ," 137,534 "," 1,356 ", 25.2 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ME,Maine,2," 524,036 "," 3,159 "," 90,205 "," 1,671 ", 17.2 , 0.3 ," 106,404 "," 1,819 ", 20.3 , 0.3 ," 191,578 "," 2,142 ", 36.6 , 0.4 ," 135,849 "," 1,488 ", 25.9 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,MD,Maryland,1," 567,926 "," 5,943 "," 102,678 "," 3,005 ", 18.1 , 0.5 ," 117,878 "," 2,517 ", 20.8 , 0.4 ," 209,151 "," 3,823 ", 36.8 , 0.5 ," 138,219 "," 2,717 ", 24.3 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,MD,Maryland,2," 560,167 "," 10,243 "," 120,269 "," 5,400 ", 21.5 , 0.8 ," 143,100 "," 5,100 ", 25.5 , 0.9 ," 189,658 "," 5,911 ", 33.9 , 0.8 ," 107,140 "," 4,114 ", 19.1 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,MD,Maryland,3," 545,892 "," 12,375 "," 118,771 "," 6,511 ", 21.8 , 1.0 ," 138,350 "," 5,609 ", 25.3 , 0.9 ," 177,240 "," 6,060 ", 32.5 , 0.9 ," 111,531 "," 4,669 ", 20.4 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,MD,Maryland,4," 503,398 "," 11,202 "," 93,014 "," 5,783 ", 18.5 , 0.9 ," 125,012 "," 5,338 ", 24.8 , 1.0 ," 185,566 "," 6,003 ", 36.9 , 0.9 ," 99,806 "," 3,725 ", 19.8 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,MD,Maryland,5," 556,897 "," 9,297 "," 121,543 "," 4,761 ", 21.8 , 0.6 ," 123,848 "," 4,245 ", 22.2 , 0.7 ," 208,003 "," 4,511 ", 37.4 , 0.6 ," 103,503 "," 3,538 ", 18.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,MD,Maryland,6," 523,698 "," 8,346 "," 100,520 "," 4,085 ", 19.2 , 0.7 ," 123,665 "," 4,767 ", 23.6 , 0.8 ," 186,857 "," 4,995 ", 35.7 , 0.9 ," 112,656 "," 3,809 ", 21.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,MD,Maryland,7," 528,398 "," 10,931 "," 115,519 "," 4,673 ", 21.9 , 0.7 ," 121,941 "," 5,857 ", 23.1 , 0.9 ," 180,162 "," 5,445 ", 34.1 , 0.7 ," 110,776 "," 3,500 ", 21.0 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,MD,Maryland,8," 533,774 "," 9,035 "," 95,529 "," 4,367 ", 17.9 , 0.6 ," 126,983 "," 4,663 ", 23.8 , 0.8 ," 190,413 "," 5,221 ", 35.7 , 0.8 ," 120,849 "," 3,294 ", 22.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,MA,Massachusetts,1," 568,024 "," 5,218 "," 119,473 "," 2,842 ", 21.0 , 0.5 ," 119,459 "," 2,868 ", 21.0 , 0.5 ," 198,117 "," 3,133 ", 34.9 , 0.4 ," 130,975 "," 2,454 ", 23.1 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,MA,Massachusetts,2," 558,962 "," 8,532 "," 127,590 "," 4,155 ", 22.8 , 0.6 ," 117,040 "," 3,964 ", 20.9 , 0.6 ," 196,871 "," 4,671 ", 35.2 , 0.6 ," 117,461 "," 3,157 ", 21.0 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,MA,Massachusetts,3," 543,580 "," 9,566 "," 113,187 "," 5,700 ", 20.8 , 1.0 ," 124,132 "," 6,129 ", 22.8 , 1.1 ," 204,678 "," 7,099 ", 37.7 , 1.0 ," 101,583 "," 5,181 ", 18.7 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,MA,Massachusetts,4," 559,943 "," 7,776 "," 103,075 "," 5,070 ", 18.4 , 0.8 ," 119,792 "," 4,739 ", 21.4 , 0.8 ," 212,866 "," 5,389 ", 38.0 , 0.9 ," 124,210 "," 4,633 ", 22.2 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,MA,Massachusetts,5," 535,109 "," 10,214 "," 107,925 "," 4,607 ", 20.2 , 0.8 ," 129,135 "," 5,861 ", 24.1 , 1.0 ," 180,011 "," 6,179 ", 33.6 , 0.9 ," 118,038 "," 4,779 ", 22.1 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,MA,Massachusetts,6," 577,241 "," 6,734 "," 101,032 "," 4,041 ", 17.5 , 0.6 ," 119,170 "," 3,674 ", 20.6 , 0.7 ," 215,167 "," 5,376 ", 37.3 , 0.8 ," 141,872 "," 4,876 ", 24.6 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,MA,Massachusetts,7," 558,430 "," 11,033 "," 197,433 "," 6,764 ", 35.4 , 0.8 ," 143,411 "," 5,583 ", 25.7 , 0.9 ," 135,309 "," 5,832 ", 24.2 , 0.9 ," 82,277 "," 3,853 ", 14.7 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,MA,Massachusetts,8," 561,241 "," 10,353 "," 113,602 "," 5,626 ", 20.2 , 0.9 ," 138,733 "," 5,821 ", 24.7 , 0.9 ," 189,771 "," 6,022 ", 33.8 , 0.9 ," 119,135 "," 4,746 ", 21.2 , 0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,MA,Massachusetts,9," 573,274 "," 7,656 "," 97,060 "," 3,874 ", 16.9 , 0.6 ," 109,998 "," 4,205 ", 19.2 , 0.7 ," 204,076 "," 4,883 ", 35.6 , 0.7 ," 162,140 "," 3,439 ", 28.3 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,MI,Michigan,1," 564,858 "," 1,561 "," 97,821 "," 1,043 ", 17.3 , 0.2 ," 106,924 "," 1,120 ", 18.9 , 0.2 ," 197,514 "," 1,299 ", 35.0 , 0.2 ," 162,599 ", 683 , 28.8 , 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,MI,Michigan,2," 551,323 "," 4,776 "," 123,650 "," 3,563 ", 22.4 , 0.6 ," 126,229 "," 3,453 ", 22.9 , 0.6 ," 183,561 "," 3,526 ", 33.3 , 0.6 ," 117,883 "," 2,704 ", 21.4 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,MI,Michigan,3," 551,028 "," 4,362 "," 118,568 "," 3,347 ", 21.5 , 0.5 ," 135,861 "," 3,145 ", 24.7 , 0.6 ," 184,569 "," 3,617 ", 33.5 , 0.6 ," 112,030 "," 2,731 ", 20.3 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,MI,Michigan,4," 554,938 "," 2,626 "," 115,498 "," 2,235 ", 20.8 , 0.4 ," 114,323 "," 1,742 ", 20.6 , 0.3 ," 188,632 "," 1,972 ", 34.0 , 0.3 ," 136,485 "," 1,827 ", 24.6 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,MI,Michigan,5," 520,558 "," 2,700 "," 101,137 "," 1,747 ", 19.4 , 0.3 ," 110,301 "," 1,422 ", 21.2 , 0.3 ," 185,117 "," 2,012 ", 35.6 , 0.3 ," 124,003 "," 1,733 ", 23.8 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,MI,Michigan,6," 541,981 "," 3,071 "," 117,971 "," 1,844 ", 21.8 , 0.3 ," 117,761 "," 2,218 ", 21.7 , 0.4 ," 182,640 "," 2,359 ", 33.7 , 0.4 ," 123,609 ", 948 , 22.8 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,MI,Michigan,7," 548,462 "," 2,889 "," 99,343 "," 2,134 ", 18.1 , 0.4 ," 121,286 "," 2,484 ", 22.1 , 0.4 ," 197,979 "," 2,368 ", 36.1 , 0.4 ," 129,854 "," 1,848 ", 23.7 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,MI,Michigan,8," 554,462 "," 5,219 "," 128,782 "," 2,774 ", 23.2 , 0.4 ," 119,354 "," 3,102 ", 21.5 , 0.5 ," 195,443 "," 3,506 ", 35.2 , 0.5 ," 110,883 "," 2,593 ", 20.0 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,MI,Michigan,9," 552,114 "," 6,344 "," 117,050 "," 4,681 ", 21.2 , 0.8 ," 129,459 "," 4,783 ", 23.4 , 0.9 ," 190,454 "," 5,473 ", 34.5 , 0.8 ," 115,151 "," 3,730 ", 20.9 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,MI,Michigan,10," 553,804 "," 5,635 "," 91,918 "," 3,569 ", 16.6 , 0.6 ," 118,907 "," 3,014 ", 21.5 , 0.5 ," 212,452 "," 3,914 ", 38.4 , 0.6 ," 130,527 "," 3,525 ", 23.6 , 0.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,MI,Michigan,11," 534,817 "," 6,785 "," 96,984 "," 3,555 ", 18.1 , 0.7 ," 114,133 "," 3,999 ", 21.3 , 0.8 ," 203,487 "," 5,147 ", 38.0 , 0.8 ," 120,213 "," 4,596 ", 22.5 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,MI,Michigan,12," 526,943 "," 7,440 "," 144,577 "," 4,853 ", 27.4 , 0.8 ," 114,484 "," 4,436 ", 21.7 , 0.8 ," 166,439 "," 4,620 ", 31.6 , 0.7 ," 101,443 "," 3,926 ", 19.3 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,MI,Michigan,13," 474,739 "," 8,475 "," 110,377 "," 5,322 ", 23.3 , 1.0 ," 107,407 "," 5,688 ", 22.6 , 1.1 ," 161,381 "," 4,271 ", 34.0 , 0.8 ," 95,574 "," 3,696 ", 20.1 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,MI,Michigan,14," 512,851 "," 9,342 "," 109,658 "," 5,755 ", 21.4 , 1.0 ," 117,113 "," 4,669 ", 22.8 , 0.9 ," 171,524 "," 4,938 ", 33.4 , 0.7 ," 114,556 "," 4,501 ", 22.3 , 0.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,MN,Minnesota,1," 500,330 "," 2,914 "," 103,708 "," 1,937 ", 20.7 , 0.3 ," 114,362 "," 1,772 ", 22.9 , 0.3 ," 165,683 "," 1,743 ", 33.1 , 0.3 ," 116,577 "," 1,253 ", 23.3 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,MN,Minnesota,2," 511,914 "," 3,848 "," 96,331 "," 2,514 ", 18.8 , 0.4 ," 131,892 "," 2,452 ", 25.8 , 0.5 ," 185,390 "," 2,553 ", 36.2 , 0.4 ," 98,301 "," 1,587 ", 19.2 , 0.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,MN,Minnesota,3," 517,834 "," 7,590 "," 80,909 "," 4,606 ", 15.6 , 0.8 ," 124,874 "," 4,081 ", 24.1 , 0.8 ," 199,945 "," 4,194 ", 38.6 , 0.7 ," 112,106 "," 3,768 ", 21.6 , 0.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,MN,Minnesota,4," 510,862 "," 5,084 "," 109,706 "," 3,155 ", 21.5 , 0.5 ," 130,270 "," 2,894 ", 25.5 , 0.5 ," 167,528 "," 2,243 ", 32.8 , 0.4 ," 103,358 "," 1,746 ", 20.2 , 0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,MN,Minnesota,5," 517,155 "," 6,617 "," 137,964 "," 4,281 ", 26.7 , 0.7 ," 150,173 "," 4,512 ", 29.0 , 0.8 ," 141,709 "," 3,545 ", 27.4 , 0.7 ," 87,309 "," 2,962 ", 16.9 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,MN,Minnesota,6," 525,551 "," 4,938 "," 104,564 "," 3,218 ", 19.9 , 0.5 ," 137,834 "," 2,921 ", 26.2 , 0.5 ," 190,089 "," 3,176 ", 36.2 , 0.5 ," 93,064 "," 2,476 ", 17.7 , 0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,MN,Minnesota,7," 495,727 "," 2,489 "," 91,877 "," 1,677 ", 18.5 , 0.3 ," 106,463 "," 1,479 ", 21.5 , 0.3 ," 167,305 "," 1,553 ", 33.7 , 0.3 ," 130,082 "," 1,193 ", 26.2 , 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
