,District,State abbreviation,State name,Congressional district,Citizen voting-age population Estimate,18-29 Age Estimate,18-29 Age Percent of total,30-44 Age Estimate,30-44 Age Percent of total,45-64 Age Estimate,45-64 Age Percent of total,65+ Age Estimate,65+ Age Percent of total
30,CA-10,CA,California,10,493409,120037,24.3,126032,25.5,155323,31.5,92017,18.6
31,CA-11,CA,California,11,508963,94457,18.6,118438,23.3,178718,35.1,117350,23.1
32,CA-12,CA,California,12,571300,115725,20.3,185209,32.4,161917,28.3,108449,19.0
33,CA-13,CA,California,13,536892,124347,23.2,153682,28.6,158802,29.6,100061,18.6
34,CA-14,CA,California,14,511049,98885,19.3,125040,24.5,171998,33.7,115126,22.5
35,CA-15,CA,California,15,503361,92013,18.3,134040,26.6,179479,35.7,97829,19.4
36,CA-16,CA,California,16,423147,127642,30.2,108432,25.6,117889,27.9,69184,16.3
37,CA-17,CA,California,17,438374,86540,19.7,103893,23.7,162474,37.1,85467,19.5
38,CA-18,CA,California,18,491580,84672,17.2,111547,22.7,186221,37.9,109140,22.2
39,CA-19,CA,California,19,482363,110244,22.9,120200,24.9,159427,33.1,92492,19.2
40,CA-20,CA,California,20,434889,113595,26.1,100241,23.0,129619,29.8,91434,21.0
41,CA-21,CA,California,21,354669,112192,31.6,95934,27.0,94483,26.6,52060,14.7
42,CA-22,CA,California,22,483064,121739,25.2,123766,25.6,144754,30.0,92805,19.2
43,CA-23,CA,California,23,490446,114763,23.4,124203,25.3,159160,32.5,92320,18.8
44,CA-24,CA,California,24,508333,143040,28.1,96005,18.9,147344,29.0,121944,24.0
45,CA-25,CA,California,25,482964,103999,21.5,115475,23.9,175776,36.4,87714,18.2
46,CA-26,CA,California,26,480928,107880,22.4,105706,22.0,162047,33.7,105295,21.9
47,CA-27,CA,California,27,471963,86706,18.4,108732,23.0,159649,33.8,116876,24.8
48,CA-28,CA,California,28,502971,99507,19.8,139517,27.7,166073,33.0,97874,19.5
49,CA-29,CA,California,29,402898,111823,27.8,101568,25.2,119181,29.6,70326,17.5
50,CA-30,CA,California,30,529846,113793,21.5,130676,24.7,174660,33.0,110717,20.9
51,CA-31,CA,California,31,482081,128989,26.8,127282,26.4,146719,30.4,79091,16.4
52,CA-32,CA,California,32,449452,116658,26.0,107883,24.0,139777,31.1,85134,18.9
53,CA-33,CA,California,33,517251,99299,19.2,122449,23.7,167981,32.5,127522,24.7
54,CA-34,CA,California,34,425520,117797,27.7,122307,28.7,109068,25.6,76348,17.9
55,CA-35,CA,California,35,450565,146833,32.6,115997,25.7,125573,27.9,62162,13.8
56,CA-36,CA,California,36,536333,95867,17.9,111759,20.8,170439,31.8,158268,29.5
57,CA-37,CA,California,37,468463,129241,27.6,118145,25.2,136694,29.2,84383,18.0
58,CA-38,CA,California,38,481296,116734,24.3,115644,24.0,152188,31.6,96730,20.1
59,CA-39,CA,California,39,486713,112813,23.2,110244,22.7,161474,33.2,102182,21.0
60,CA-40,CA,California,40,340435,117561,34.5,88081,25.9,86405,25.4,48388,14.2
61,CA-41,CA,California,41,478613,154274,32.2,126217,26.4,132970,27.8,65152,13.6
62,CA-42,CA,California,42,538265,122803,22.8,145881,27.1,177568,33.0,92013,17.1
63,CA-43,CA,California,43,454185,114853,25.3,115255,25.4,142409,31.4,81668,18.0
64,CA-44,CA,California,44,395819,115574,29.2,110263,27.9,108537,27.4,61445,15.5
65,CA-45,CA,California,45,532802,110235,20.7,119202,22.4,187676,35.2,115689,21.7
66,CA-46,CA,California,46,408633,130145,31.8,103298,25.3,111682,27.3,63508,15.5
67,CA-47,CA,California,47,491712,114807,23.3,124261,25.3,166891,33.9,85753,17.4
68,CA-48,CA,California,48,529832,103313,19.5,113213,21.4,190245,35.9,123061,23.2
69,CA-49,CA,California,49,519302,111660,21.5,112832,21.7,178059,34.3,116751,22.5
70,CA-50,CA,California,50,513522,113483,22.1,123333,24.0,169884,33.1,106822,20.8
71,CA-51,CA,California,51,445034,133614,30.0,114319,25.7,124841,28.1,72260,16.2
72,CA-52,CA,California,52,546843,125910,23.0,142801,26.1,170845,31.2,107287,19.6
73,CA-53,CA,California,53,563962,150613,26.7,157739,28.0,162309,28.8,93301,16.5
74,CO-1,CO,Colorado,1,619349,152364,24.6,196712,31.8,172432,27.8,97841,15.8
75,CO-2,CO,Colorado,2,619285,152308,24.6,147134,23.8,199517,32.2,120326,19.4
76,CO-3,CO,Colorado,3,565901,109523,19.4,129319,22.9,189023,33.4,138036,24.4
77,CO-4,CO,Colorado,4,598599,117673,19.7,156792,26.2,208777,34.9,115357,19.3
78,CO-5,CO,Colorado,5,603967,145787,24.1,153131,25.4,192123,31.8,112926,18.7
79,CO-6,CO,Colorado,6,567801,113465,20.0,156336,27.5,200412,35.3,97588,17.2
80,CO-7,CO,Colorado,7,576138,124489,21.6,162759,28.3,180307,31.3,108583,18.8
81,CT-1,CT,Connecticut,1,523004,99742,19.1,117559,22.5,184595,35.3,121108,23.2
82,CT-2,CT,Connecticut,2,548572,113923,20.8,111653,20.4,198909,36.3,124087,22.6
83,CT-3,CT,Connecticut,3,535024,117352,21.9,114121,21.3,182421,34.1,121130,22.6
84,CT-4,CT,Connecticut,4,496370,91904,18.5,103645,20.9,191712,38.6,109109,22.0
85,CT-5,CT,Connecticut,5,511395,97510,19.1,105985,20.7,189558,37.1,118342,23.1
86,DE-At-large,DE,Delaware,At-large,720867,140123,19.4,153037,21.2,249503,34.6,178204,24.7
87,DC-At-large,DC,District of Columbia,At-large,526393,145434,27.6,165893,31.5,131762,25.0,83304,15.8
88,FL-1,FL,Florida,1,601423,129762,21.6,142425,23.7,198441,33.0,130795,21.7
89,FL-2,FL,Florida,2,573718,112942,19.7,125347,21.8,188569,32.9,146860,25.6
90,FL-3,FL,Florida,3,579993,143031,24.7,129575,22.3,180729,31.2,126658,21.8
91,FL-4,FL,Florida,4,614794,118537,19.3,151537,24.6,210228,34.2,134492,21.9
92,FL-5,FL,Florida,5,541992,141638,26.1,133383,24.6,171317,31.6,95654,17.6
93,FL-6,FL,Florida,6,621566,98635,15.9,119235,19.2,207124,33.3,196572,31.6
94,FL-7,FL,Florida,7,581583,148112,25.5,143853,24.7,179955,30.9,109663,18.9
95,FL-8,FL,Florida,8,610604,92846,15.2,111790,18.3,214531,35.1,191437,31.4
96,FL-9,FL,Florida,9,644898,137347,21.3,166586,25.8,202251,31.4,138714,21.5
97,FL-10,FL,Florida,10,546157,121477,22.2,151934,27.8,183021,33.5,89725,16.4
98,FL-11,FL,Florida,11,652135,82551,12.7,96277,14.8,196690,30.2,276617,42.4
99,FL-12,FL,Florida,12,605983,83666,13.8,126316,20.8,210053,34.7,185948,30.7
100,FL-13,FL,Florida,13,584889,100325,17.2,116090,19.8,205103,35.1,163371,27.9
101,FL-14,FL,Florida,14,534225,122106,22.9,143475,26.9,169888,31.8,98756,18.5
102,FL-15,FL,Florida,15,578715,126879,21.9,132369,22.9,192852,33.3,126615,21.9
103,FL-16,FL,Florida,16,638769,91026,14.3,118164,18.5,211715,33.1,217864,34.1
104,FL-17,FL,Florida,17,615104,81894,13.3,101025,16.4,183910,29.9,248275,40.4
105,FL-18,FL,Florida,18,599873,89563,14.9,111342,18.6,204824,34.1,194144,32.4
106,FL-19,FL,Florida,19,631233,84363,13.4,98336,15.6,192617,30.5,255917,40.5
107,FL-20,FL,Florida,20,507613,115723,22.8,128477,25.3,165897,32.7,97516,19.2
108,FL-21,FL,Florida,21,546101,86152,15.8,99308,18.2,171770,31.5,188871,34.6
109,FL-22,FL,Florida,22,534846,78782,14.7,113545,21.2,190781,35.7,151738,28.4
110,FL-23,FL,Florida,23,510212,92504,18.1,117316,23.0,176163,34.5,124229,24.3
