Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
15,AZ,Arizona,7," 454,957 "," 12,175 "," 317,721 "," 12,475 ", 69.8 , 1.8 ," 52,274 "," 5,567 ", 11.5 , 1.2 ," 10,856 "," 2,638 ", 2.4 , 0.6 ," 18,769 "," 8,034 ", 4.1 , 1.8 , N , N , N , N ," 37,487 "," 4,187 ", 8.2 , 0.9 ," 18,298 "," 3,217 ", 4.0 , 0.7 ," 231,252 "," 10,553 ", 50.8 , 1.8 ," 141,414 "," 7,526 ", 31.1 , 1.5 
16,AZ,Arizona,8," 599,423 "," 9,645 "," 510,303 "," 9,165 ", 85.1 , 1.2 ," 28,428 "," 5,122 ", 4.7 , 0.8 ," 20,387 "," 3,142 ", 3.4 , 0.5 , N , N , N , N , N , N , N , N ," 17,439 "," 3,774 ", 2.9 , 0.6 ," 15,934 "," 3,155 ", 2.7 , 0.5 ," 94,705 "," 7,614 ", 15.8 , 1.2 ," 441,353 "," 10,522 ", 73.6 , 1.5 
17,AZ,Arizona,9," 562,791 "," 12,216 "," 442,582 "," 11,308 ", 78.6 , 1.4 ," 36,493 "," 5,063 ", 6.5 , 0.9 ," 21,686 "," 2,817 ", 3.9 , 0.5 ," 18,138 "," 5,325 ", 3.2 , 0.9 , N , N , N , N ," 21,432 "," 3,286 ", 3.8 , 0.6 ," 19,896 "," 2,553 ", 3.5 , 0.4 ," 108,397 "," 8,554 ", 19.3 , 1.4 ," 365,415 "," 11,758 ", 64.9 , 1.8 
18,AR,Arkansas,1," 548,710 "," 3,198 "," 438,139 "," 2,765 ", 79.8 , 0.4 ," 87,917 "," 4,737 ", 16.0 , 0.9 , N , N , N , N , N , N , N , N , N , N , N , N ," 4,421 "," 1,674 ", 0.8 , 0.3 ," 16,059 "," 4,206 ", 2.9 , 0.8 ," 11,266 "," 1,807 ", 2.1 , 0.3 ," 431,129 "," 2,365 ", 78.6 , 0.4 
19,AR,Arkansas,2," 570,220 "," 3,398 "," 422,355 "," 2,568 ", 74.1 , 0.3 ," 128,263 "," 4,140 ", 22.5 , 0.7 ," 6,177 "," 1,353 ", 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 3,314 "," 1,178 ", 0.6 , 0.2 ," 8,778 "," 4,113 ", 1.5 , 0.7 ," 13,186 "," 2,126 ", 2.3 , 0.4 ," 413,714 "," 1,613 ", 72.6 , 0.4 
20,AR,Arkansas,3," 573,113 "," 5,357 "," 500,760 "," 4,510 ", 87.4 , 0.7 ," 18,315 "," 2,740 ", 3.2 , 0.5 ," 12,673 "," 2,203 ", 2.2 , 0.4 , N , N , N , N ," 1,735 ", 999 , 0.3 , 0.2 ," 19,983 "," 2,987 ", 3.5 , 0.5 ," 13,215 "," 3,801 ", 2.3 , 0.7 ," 46,024 "," 2,726 ", 8.0 , 0.4 ," 476,885 "," 3,196 ", 83.2 , 0.6 
21,AR,Arkansas,4," 532,069 "," 4,667 "," 411,637 "," 4,153 ", 77.4 , 0.4 ," 100,650 "," 4,411 ", 18.9 , 0.8 ," 3,019 "," 1,082 ", 0.6 , 0.2 , N , N , N , N , N , N , N , N ," 6,858 "," 1,530 ", 1.3 , 0.3 ," 7,232 "," 3,267 ", 1.4 , 0.6 ," 15,662 "," 1,883 ", 2.9 , 0.3 ," 403,409 "," 3,809 ", 75.8 , 0.4 
22,CA,California,1," 553,702 "," 4,675 "," 485,784 "," 4,680 ", 87.7 , 0.5 ," 10,767 "," 1,872 ", 1.9 , 0.3 ," 12,127 "," 1,265 ", 2.2 , 0.2 ," 9,608 "," 1,944 ", 1.7 , 0.4 , N , N , N , N ," 14,141 "," 2,639 ", 2.6 , 0.5 ," 21,522 "," 4,574 ", 3.9 , 0.8 ," 58,536 "," 3,075 ", 10.6 , 0.5 ," 445,921 "," 3,639 ", 80.5 , 0.6 
23,CA,California,2," 534,951 "," 6,691 "," 454,414 "," 5,969 ", 84.9 , 0.8 ," 8,870 "," 1,532 ", 1.7 , 0.3 ," 19,514 "," 2,208 ", 3.6 , 0.4 ," 11,655 "," 2,188 ", 2.2 , 0.4 , N , N , N , N ," 19,112 "," 2,864 ", 3.6 , 0.5 ," 20,970 "," 2,496 ", 3.9 , 0.5 ," 61,074 "," 4,477 ", 11.4 , 0.8 ," 418,700 "," 5,666 ", 78.3 , 0.9 
24,CA,California,3," 504,299 "," 7,222 "," 359,233 "," 7,649 ", 71.2 , 1.0 ," 35,270 "," 2,900 ", 7.0 , 0.6 ," 52,394 "," 3,581 ", 10.4 , 0.7 ," 5,960 "," 2,269 ", 1.2 , 0.4 , N , N , N , N ," 22,185 "," 3,153 ", 4.4 , 0.6 ," 25,321 "," 2,866 ", 5.0 , 0.6 ," 109,241 "," 5,185 ", 21.7 , 0.9 ," 280,363 "," 6,098 ", 55.6 , 0.9 
25,CA,California,4," 573,118 "," 5,649 "," 497,366 "," 5,848 ", 86.8 , 0.6 , N , N , N , N ," 27,898 "," 2,068 ", 4.9 , 0.4 , N , N , N , N , N , N , N , N ," 11,868 "," 2,303 ", 2.1 , 0.4 ," 23,354 "," 2,896 ", 4.1 , 0.5 ," 64,548 "," 2,824 ", 11.3 , 0.5 ," 450,006 "," 5,065 ", 78.5 , 0.5 
26,CA,California,5," 508,369 "," 9,829 "," 351,083 "," 9,434 ", 69.1 , 1.3 ," 34,910 "," 3,545 ", 6.9 , 0.7 ," 56,492 "," 4,180 ", 11.1 , 0.8 , N , N , N , N , N , N , N , N ," 37,843 "," 5,026 ", 7.4 , 1.0 ," 21,549 "," 2,632 ", 4.2 , 0.5 ," 97,104 "," 6,505 ", 19.1 , 1.2 ," 301,558 "," 7,824 ", 59.3 , 1.2 
27,CA,California,6," 506,434 "," 10,206 "," 271,180 "," 8,885 ", 53.5 , 1.3 ," 71,316 "," 4,769 ", 14.1 , 0.9 ," 83,265 "," 5,680 ", 16.4 , 1.1 , N , N , N , N ," 5,553 "," 1,464 ", 1.1 , 0.3 ," 40,599 "," 5,189 ", 8.0 , 1.0 ," 30,155 "," 3,337 ", 6.0 , 0.7 ," 111,950 "," 5,901 ", 22.1 , 1.1 ," 215,048 "," 7,234 ", 42.5 , 1.2 
28,CA,California,7," 537,436 "," 8,063 "," 361,187 "," 8,310 ", 67.2 , 1.2 ," 44,099 "," 4,440 ", 8.2 , 0.8 ," 75,279 "," 5,622 ", 14.0 , 1.0 , N , N , N , N ," 4,850 "," 1,617 ", 0.9 , 0.3 ," 19,591 "," 2,851 ", 3.6 , 0.5 ," 26,770 "," 3,146 ", 5.0 , 0.6 ," 82,608 "," 5,319 ", 15.4 , 0.9 ," 307,594 "," 6,729 ", 57.2 , 1.1 
29,CA,California,8," 477,512 "," 10,385 "," 368,454 "," 10,431 ", 77.2 , 1.5 ," 43,008 "," 8,873 ", 9.0 , 1.8 ," 14,025 "," 2,747 ", 2.9 , 0.6 ," 9,164 "," 3,653 ", 1.9 , 0.8 , N , N , N , N ," 25,509 "," 3,419 ", 5.3 , 0.7 ," 16,327 "," 2,950 ", 3.4 , 0.6 ," 155,314 "," 8,526 ", 32.5 , 1.6 ," 248,281 "," 8,493 ", 52.0 , 1.5 
30,CA,California,9," 482,967 "," 8,819 "," 290,420 "," 9,269 ", 60.1 , 1.5 ," 49,206 "," 4,418 ", 10.2 , 0.9 ," 69,600 "," 5,261 ", 14.4 , 1.1 , N , N , N , N , N , N , N , N ," 29,461 "," 4,192 ", 6.1 , 0.9 ," 38,620 "," 4,852 ", 8.0 , 1.0 ," 142,052 "," 7,597 ", 29.4 , 1.5 ," 206,544 "," 7,049 ", 42.8 , 1.2 
31,CA,California,10," 493,409 "," 7,043 "," 375,752 "," 7,527 ", 76.2 , 1.1 ," 18,469 "," 3,325 ", 3.7 , 0.7 ," 35,626 "," 3,448 ", 7.2 , 0.7 ," 5,748 "," 1,473 ", 1.2 , 0.3 ," 4,250 ", 929 , 0.9 , 0.2 ," 30,849 "," 4,557 ", 6.3 , 0.9 ," 22,943 "," 3,083 ", 4.6 , 0.6 ," 175,701 "," 6,342 ", 35.6 , 1.1 ," 244,470 "," 4,794 ", 49.5 , 0.8 
32,CA,California,11," 508,963 "," 9,040 "," 311,242 "," 6,770 ", 61.2 , 1.2 ," 49,347 "," 3,879 ", 9.7 , 0.7 ," 74,364 "," 4,266 ", 14.6 , 0.8 , N , N , N , N , N , N , N , N ," 41,347 "," 4,849 ", 8.1 , 0.9 ," 28,089 "," 4,006 ", 5.5 , 0.8 ," 92,941 "," 5,819 ", 18.3 , 1.0 ," 270,864 "," 5,047 ", 53.2 , 0.9 
33,CA,California,12," 571,300 "," 7,542 "," 296,423 "," 4,589 ", 51.9 , 0.7 ," 32,133 "," 2,172 ", 5.6 , 0.4 ," 178,128 "," 5,763 ", 31.2 , 0.9 , N , N , N , N , N , N , N , N ," 33,021 "," 4,256 ", 5.8 , 0.7 ," 28,512 "," 4,057 ", 5.0 , 0.7 ," 66,614 "," 3,990 ", 11.7 , 0.6 ," 269,198 "," 3,638 ", 47.1 , 0.6 
34,CA,California,13," 536,892 "," 6,882 "," 247,852 "," 7,763 ", 46.2 , 1.4 ," 98,151 "," 4,781 ", 18.3 , 0.9 ," 109,823 "," 6,370 ", 20.5 , 1.1 ," 3,579 ", 777 , 0.7 , 0.1 ," 3,939 "," 1,018 ", 0.7 , 0.2 ," 43,499 "," 5,144 ", 8.1 , 0.9 ," 30,049 "," 3,374 ", 5.6 , 0.6 ," 83,915 "," 5,427 ", 15.6 , 0.9 ," 217,540 "," 6,453 ", 40.5 , 1.2 
35,CA,California,14," 511,049 "," 8,400 "," 241,671 "," 6,408 ", 47.3 , 1.3 ," 17,614 "," 2,285 ", 3.4 , 0.4 ," 177,859 "," 5,197 ", 34.8 , 0.9 , N , N , N , N ," 6,011 ", 908 , 1.2 , 0.2 ," 40,390 "," 5,685 ", 7.9 , 1.1 ," 26,057 "," 3,421 ", 5.1 , 0.6 ," 91,581 "," 5,051 ", 17.9 , 0.9 ," 198,763 "," 5,389 ", 38.9 , 1.0 
36,CA,California,15," 503,361 "," 8,070 "," 232,958 "," 7,969 ", 46.3 , 1.4 ," 33,069 "," 4,502 ", 6.6 , 0.9 ," 157,240 "," 6,704 ", 31.2 , 1.2 , N , N , N , N ," 5,903 "," 1,268 ", 1.2 , 0.3 ," 46,852 "," 5,012 ", 9.3 , 1.0 ," 24,347 "," 2,787 ", 4.8 , 0.6 ," 94,547 "," 6,008 ", 18.8 , 1.1 ," 194,131 "," 7,188 ", 38.6 , 1.3 
37,CA,California,16," 423,147 "," 10,984 "," 259,896 "," 9,674 ", 61.4 , 1.5 ," 29,949 "," 4,302 ", 7.1 , 1.0 ," 40,911 "," 4,328 ", 9.7 , 1.0 ," 6,254 "," 2,043 ", 1.5 , 0.5 , N , N , N , N ," 73,557 "," 6,688 ", 17.4 , 1.5 ," 12,434 "," 1,757 ", 2.9 , 0.4 ," 210,149 "," 8,990 ", 49.7 , 1.3 ," 133,048 "," 4,137 ", 31.4 , 1.0 
38,CA,California,17," 438,374 "," 13,412 "," 166,583 "," 10,403 ", 38.0 , 1.9 ," 11,616 "," 3,015 ", 2.6 , 0.7 ," 208,824 "," 9,119 ", 47.6 , 1.9 , N , N , N , N , N , N , N , N ," 30,812 "," 5,821 ", 7.0 , 1.3 ," 17,009 "," 2,949 ", 3.9 , 0.7 ," 69,573 "," 7,764 ", 15.9 , 1.6 ," 134,388 "," 7,399 ", 30.7 , 1.4 
39,CA,California,18," 491,580 "," 9,611 "," 346,243 "," 8,787 ", 70.4 , 1.3 ," 11,030 "," 2,350 ", 2.2 , 0.5 ," 100,672 "," 5,210 ", 20.5 , 1.1 , N , N , N , N , N , N , N , N ," 14,024 "," 2,725 ", 2.9 , 0.5 ," 17,163 "," 3,014 ", 3.5 , 0.6 ," 56,623 "," 5,607 ", 11.5 , 1.1 ," 307,735 "," 8,764 ", 62.6 , 1.4 
40,CA,California,19," 482,363 "," 9,857 "," 229,734 "," 9,272 ", 47.6 , 1.5 ," 18,927 "," 2,693 ", 3.9 , 0.6 ," 143,142 "," 6,019 ", 29.7 , 1.2 , N , N , N , N , N , N , N , N ," 60,224 "," 6,142 ", 12.5 , 1.2 ," 21,598 "," 3,394 ", 4.5 , 0.7 ," 152,994 "," 8,034 ", 31.7 , 1.3 ," 149,701 "," 5,958 ", 31.0 , 1.1 
41,CA,California,20," 434,889 "," 8,953 "," 305,946 "," 8,658 ", 70.4 , 1.3 ," 11,941 "," 1,667 ", 2.7 , 0.4 ," 27,517 "," 1,926 ", 6.3 , 0.4 , N , N , N , N , N , N , N , N ," 64,715 "," 5,244 ", 14.9 , 1.2 ," 19,754 "," 2,540 ", 4.5 , 0.6 ," 158,794 "," 7,486 ", 36.5 , 1.1 ," 221,760 "," 4,003 ", 51.0 , 1.0 
42,CA,California,21," 354,669 "," 11,267 "," 248,130 "," 9,961 ", 70.0 , 1.8 ," 21,886 "," 4,562 ", 6.2 , 1.3 ," 16,544 "," 2,752 ", 4.7 , 0.8 ," 3,929 ", 972 , 1.1 , 0.3 , N , N , N , N ," 50,257 "," 4,982 ", 14.2 , 1.3 ," 13,545 "," 2,693 ", 3.8 , 0.8 ," 216,534 "," 9,291 ", 61.1 , 1.5 ," 91,472 "," 4,785 ", 25.8 , 1.2 
43,CA,California,22," 483,064 "," 10,845 "," 346,638 "," 9,583 ", 71.8 , 1.5 ," 15,143 "," 2,670 ", 3.1 , 0.6 ," 38,914 "," 3,930 ", 8.1 , 0.8 , N , N , N , N , N , N , N , N ," 57,049 "," 6,046 ", 11.8 , 1.2 ," 18,805 "," 2,753 ", 3.9 , 0.6 ," 189,448 "," 8,757 ", 39.2 , 1.3 ," 227,786 "," 6,050 ", 47.2 , 1.3 
44,CA,California,23," 490,446 "," 10,566 "," 380,726 "," 10,034 ", 77.6 , 1.3 ," 32,679 "," 3,700 ", 6.7 , 0.7 ," 21,724 "," 2,821 ", 4.4 , 0.6 , N , N , N , N , N , N , N , N ," 34,044 "," 4,650 ", 6.9 , 0.9 ," 15,283 "," 2,623 ", 3.1 , 0.5 ," 160,510 "," 8,804 ", 32.7 , 1.3 ," 261,955 "," 6,387 ", 53.4 , 1.3 
45,CA,California,24," 508,333 "," 5,576 "," 425,380 "," 5,076 ", 83.7 , 0.7 ," 12,424 "," 1,656 ", 2.4 , 0.3 ," 23,909 "," 1,510 ", 4.7 , 0.3 , N , N , N , N , N , N , N , N ," 21,444 "," 3,386 ", 4.2 , 0.7 ," 18,701 "," 2,575 ", 3.7 , 0.5 ," 123,255 "," 5,013 ", 24.2 , 0.8 ," 334,770 "," 2,107 ", 65.9 , 0.7 
46,CA,California,25," 482,964 "," 10,876 "," 330,756 "," 10,045 ", 68.5 , 1.5 ," 34,903 "," 3,636 ", 7.2 , 0.7 ," 41,939 "," 4,368 ", 8.7 , 0.9 , N , N , N , N , N , N , N , N ," 52,485 "," 5,679 ", 10.9 , 1.1 ," 19,310 "," 2,726 ", 4.0 , 0.6 ," 159,316 "," 7,173 ", 33.0 , 1.2 ," 234,020 "," 8,028 ", 48.5 , 1.3 
47,CA,California,26," 480,928 "," 6,034 "," 395,925 "," 6,807 ", 82.3 , 0.9 ," 11,733 "," 1,727 ", 2.4 , 0.4 ," 33,306 "," 2,402 ", 6.9 , 0.5 , N , N , N , N , N , N , N , N ," 17,324 "," 2,612 ", 3.6 , 0.5 ," 17,814 "," 2,807 ", 3.7 , 0.6 ," 169,562 "," 5,173 ", 35.3 , 0.9 ," 254,914 "," 4,663 ", 53.0 , 0.9 
48,CA,California,27," 471,963 "," 11,108 "," 206,447 "," 7,538 ", 43.7 , 1.4 ," 22,520 "," 3,778 ", 4.8 , 0.8 ," 169,067 "," 6,870 ", 35.8 , 1.2 , N , N , N , N , N , N , N , N ," 55,402 "," 6,004 ", 11.7 , 1.2 ," 15,942 "," 2,858 ", 3.4 , 0.6 ," 117,921 "," 7,337 ", 25.0 , 1.3 ," 150,127 "," 6,130 ", 31.8 , 1.2 
49,CA,California,28," 502,971 "," 13,353 "," 363,249 "," 10,760 ", 72.2 , 1.7 ," 14,106 "," 2,391 ", 2.8 , 0.5 ," 61,516 "," 6,160 ", 12.2 , 1.2 , N , N , N , N , N , N , N , N ," 39,628 "," 5,721 ", 7.9 , 1.0 ," 21,009 "," 2,774 ", 4.2 , 0.5 ," 96,915 "," 7,499 ", 19.3 , 1.3 ," 312,385 "," 9,481 ", 62.1 , 1.6 
50,CA,California,29," 402,898 "," 11,545 "," 237,736 "," 9,656 ", 59.0 , 1.8 ," 22,226 "," 3,921 ", 5.5 , 1.0 ," 35,957 "," 4,379 ", 8.9 , 1.0 ," 3,255 "," 1,310 ", 0.8 , 0.3 , N , N , N , N ," 91,212 "," 7,582 ", 22.6 , 1.7 ," 11,663 "," 1,958 ", 2.9 , 0.5 ," 227,603 "," 9,816 ", 56.5 , 1.7 ," 111,309 "," 6,017 ", 27.6 , 1.3 
51,CA,California,30," 529,846 "," 14,610 "," 352,578 "," 9,426 ", 66.5 , 1.6 ," 32,932 "," 4,542 ", 6.2 , 0.8 ," 69,798 "," 6,391 ", 13.2 , 1.1 , N , N , N , N , N , N , N , N ," 51,757 "," 6,753 ", 9.8 , 1.2 ," 19,650 "," 2,863 ", 3.7 , 0.5 ," 117,071 "," 9,638 ", 22.1 , 1.5 ," 293,695 "," 9,104 ", 55.4 , 1.8 
52,CA,California,31," 482,081 "," 9,659 "," 308,232 "," 10,287 ", 63.9 , 1.7 ," 56,448 "," 5,887 ", 11.7 , 1.2 ," 31,947 "," 4,199 ", 6.6 , 0.8 , N , N , N , N , N , N , N , N ," 58,974 "," 5,744 ", 12.2 , 1.2 ," 20,841 "," 3,486 ", 4.3 , 0.7 ," 221,491 "," 8,393 ", 45.9 , 1.4 ," 157,858 "," 7,514 ", 32.7 , 1.5 
53,CA,California,32," 449,452 "," 11,398 "," 243,616 "," 8,993 ", 54.2 , 1.9 ," 16,232 "," 2,722 ", 3.6 , 0.6 ," 83,560 "," 5,754 ", 18.6 , 1.2 ," 5,739 "," 2,222 ", 1.3 , 0.5 , N , N , N , N ," 64,727 "," 6,713 ", 14.4 , 1.4 ," 33,327 "," 5,415 ", 7.4 , 1.2 ," 253,798 "," 10,070 ", 56.5 , 1.7 ," 86,125 "," 4,969 ", 19.2 , 1.1 
54,CA,California,33," 517,251 "," 10,427 "," 393,760 "," 8,476 ", 76.1 , 1.2 ," 21,199 "," 4,225 ", 4.1 , 0.8 ," 60,673 "," 4,850 ", 11.7 , 0.9 , N , N , N , N , N , N , N , N ," 15,442 "," 2,815 ", 3.0 , 0.5 ," 23,687 "," 3,892 ", 4.6 , 0.7 ," 64,031 "," 5,529 ", 12.4 , 1.1 ," 349,617 "," 9,066 ", 67.6 , 1.4 
