Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
72,CA,California,51," 445,034 "," 11,226 "," 231,666 "," 7,618 ", 52.1 , 1.0 ," 213,368 "," 6,634 ", 47.9 , 1.0 ," 417,314 "," 11,958 "," 61,130 "," 6,688 ", 14.6 , 1.6 ,,,,,,,,,,,
73,CA,California,52," 546,843 "," 12,471 "," 277,751 "," 9,220 ", 50.8 , 0.9 ," 269,092 "," 6,748 ", 49.2 , 0.9 ," 523,070 "," 12,155 "," 39,255 "," 3,936 ", 7.5 , 0.7 ,,,,,,,,,,,
74,CA,California,53," 563,962 "," 15,636 "," 280,508 "," 10,328 ", 49.7 , 0.9 ," 283,454 "," 8,167 ", 50.3 , 0.9 ," 555,546 "," 16,080 "," 53,727 "," 5,554 ", 9.7 , 0.9 ,,,,,,,,,,,
75,CO,Colorado,1," 619,349 "," 5,507 "," 309,603 "," 3,994 ", 50.0 , 0.4 ," 309,746 "," 3,290 ", 50.0 , 0.4 ," 607,672 "," 5,675 "," 55,734 "," 4,605 ", 9.2 , 0.8 ,,,,,,,,,,,
76,CO,Colorado,2," 619,285 "," 6,451 "," 309,961 "," 4,913 ", 50.1 , 0.5 ," 309,324 "," 3,636 ", 49.9 , 0.5 ," 599,732 "," 6,564 "," 58,303 "," 4,857 ", 9.7 , 0.8 ,,,,,,,,,,,
77,CO,Colorado,3," 565,901 "," 5,796 "," 280,001 "," 4,197 ", 49.5 , 0.5 ," 285,900 "," 3,496 ", 50.5 , 0.5 ," 552,902 "," 6,002 "," 67,233 "," 5,536 ", 12.2 , 1.0 ,,,,,,,,,,,
78,CO,Colorado,4," 598,599 "," 5,986 "," 302,689 "," 3,601 ", 50.6 , 0.4 ," 295,910 "," 3,924 ", 49.4 , 0.4 ," 583,283 "," 6,102 "," 44,288 "," 3,525 ", 7.6 , 0.6 ,,,,,,,,,,,
79,CO,Colorado,5," 603,967 "," 3,639 "," 309,714 "," 2,478 ", 51.3 , 0.3 ," 294,253 "," 2,672 ", 48.7 , 0.3 ," 575,663 "," 4,543 "," 48,574 "," 3,919 ", 8.4 , 0.7 ,,,,,,,,,,,
80,CO,Colorado,6," 567,801 "," 9,080 "," 277,947 "," 5,518 ", 49.0 , 0.5 ," 289,854 "," 4,919 ", 51.0 , 0.5 ," 562,482 "," 9,457 "," 30,122 "," 3,293 ", 5.4 , 0.6 ,,,,,,,,,,,
81,CO,Colorado,7," 576,138 "," 8,222 "," 283,711 "," 4,765 ", 49.2 , 0.4 ," 292,427 "," 4,847 ", 50.8 , 0.4 ," 567,731 "," 8,060 "," 43,603 "," 5,151 ", 7.7 , 0.9 ,,,,,,,,,,,
82,CT,Connecticut,1," 523,004 "," 7,034 "," 247,490 "," 4,891 ", 47.3 , 0.5 ," 275,514 "," 4,099 ", 52.7 , 0.5 ," 513,017 "," 7,109 "," 48,741 "," 3,958 ", 9.5 , 0.8 ,,,,,,,,,,,
83,CT,Connecticut,2," 548,572 "," 5,593 "," 272,014 "," 3,805 ", 49.6 , 0.4 ," 276,558 "," 3,576 ", 50.4 , 0.4 ," 512,850 "," 5,646 "," 42,018 "," 3,926 ", 8.2 , 0.8 ,,,,,,,,,,,
84,CT,Connecticut,3," 535,024 "," 7,312 "," 251,948 "," 4,826 ", 47.1 , 0.6 ," 283,076 "," 4,528 ", 52.9 , 0.6 ," 511,818 "," 7,679 "," 49,435 "," 4,673 ", 9.7 , 0.9 ,,,,,,,,,,,
85,CT,Connecticut,4," 496,370 "," 6,476 "," 234,779 "," 4,288 ", 47.3 , 0.6 ," 261,591 "," 4,298 ", 52.7 , 0.6 ," 485,611 "," 6,760 "," 41,943 "," 4,997 ", 8.6 , 1.0 ,,,,,,,,,,,
86,CT,Connecticut,5," 511,395 "," 9,390 "," 246,253 "," 5,516 ", 48.2 , 0.6 ," 265,142 "," 5,736 ", 51.8 , 0.6 ," 498,350 "," 9,438 "," 42,611 "," 3,821 ", 8.6 , 0.8 ,,,,,,,,,,,
87,DE,Delaware,At-large," 720,867 "," 3,971 "," 343,826 "," 2,337 ", 47.7 , 0.2 ," 377,041 "," 2,406 ", 52.3 , 0.2 ," 698,953 "," 4,007 "," 72,431 "," 6,197 ", 10.4 , 0.9 ,,,,,,,,,,,
88,DC,District of Columbia,At-large," 526,393 "," 4,612 "," 245,922 "," 2,739 ", 46.7 , 0.3 ," 280,471 "," 2,890 ", 53.3 , 0.3 ," 497,589 "," 4,397 "," 72,562 "," 4,946 ", 14.6 , 1.0 ,,,,,,,,,,,
89,FL,Florida,1," 601,423 "," 2,752 "," 300,883 "," 1,918 ", 50.0 , 0.2 ," 300,540 "," 2,122 ", 50.0 , 0.2 ," 573,824 "," 4,551 "," 61,279 "," 6,325 ", 10.7 , 1.1 ,,,,,,,,,,,
