Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
204,MI,Michigan,5," 520,558 "," 2,700 "," 249,502 "," 1,658 ", 47.9 , 0.2 ," 271,056 "," 1,986 ", 52.1 , 0.2 ," 515,340 "," 2,949 "," 80,779 "," 4,304 ", 15.7 , 0.8 ,,,,,,,,,,,
205,MI,Michigan,6," 541,981 "," 3,071 "," 263,696 "," 2,249 ", 48.7 , 0.2 ," 278,285 "," 1,625 ", 51.3 , 0.2 ," 531,118 "," 3,711 "," 64,711 "," 4,801 ", 12.2 , 0.9 ,,,,,,,,,,,
206,MI,Michigan,7," 548,462 "," 2,889 "," 271,940 "," 2,153 ", 49.6 , 0.3 ," 276,522 "," 2,010 ", 50.4 , 0.3 ," 528,311 "," 3,355 "," 48,683 "," 3,890 ", 9.2 , 0.7 ,,,,,,,,,,,
207,MI,Michigan,8," 554,462 "," 5,219 "," 270,121 "," 3,094 ", 48.7 , 0.4 ," 284,341 "," 3,674 ", 51.3 , 0.4 ," 536,158 "," 5,579 "," 50,669 "," 4,396 ", 9.5 , 0.8 ,,,,,,,,,,,
208,MI,Michigan,9," 552,114 "," 6,344 "," 266,809 "," 4,176 ", 48.3 , 0.6 ," 285,305 "," 4,813 ", 51.7 , 0.6 ," 547,797 "," 6,289 "," 58,611 "," 4,421 ", 10.7 , 0.8 ,,,,,,,,,,,
209,MI,Michigan,10," 553,804 "," 5,635 "," 272,084 "," 3,443 ", 49.1 , 0.4 ," 281,720 "," 3,768 ", 50.9 , 0.4 ," 547,765 "," 5,449 "," 49,350 "," 3,878 ", 9.0 , 0.7 ,,,,,,,,,,,
210,MI,Michigan,11," 534,817 "," 6,785 "," 258,134 "," 4,897 ", 48.3 , 0.5 ," 276,683 "," 3,937 ", 51.7 , 0.5 ," 529,991 "," 6,817 "," 31,151 "," 3,200 ", 5.9 , 0.6 ,,,,,,,,,,,
211,MI,Michigan,12," 526,943 "," 7,440 "," 255,173 "," 5,064 ", 48.4 , 0.6 ," 271,770 "," 4,612 ", 51.6 , 0.6 ," 509,760 "," 7,443 "," 71,305 "," 4,905 ", 14.0 , 0.9 ,,,,,,,,,,,
212,MI,Michigan,13," 474,739 "," 8,475 "," 220,128 "," 5,026 ", 46.4 , 0.8 ," 254,611 "," 6,155 ", 53.6 , 0.8 ," 469,472 "," 8,469 "," 115,844 "," 7,132 ", 24.7 , 1.4 ,,,,,,,,,,,
213,MI,Michigan,14," 512,851 "," 9,342 "," 237,874 "," 5,386 ", 46.4 , 0.7 ," 274,977 "," 6,637 ", 53.6 , 0.7 ," 504,057 "," 9,351 "," 86,226 "," 6,221 ", 17.1 , 1.2 ,,,,,,,,,,,
214,MN,Minnesota,1," 500,330 "," 2,914 "," 247,189 "," 1,847 ", 49.4 , 0.3 ," 253,141 "," 2,049 ", 50.6 , 0.3 ," 482,916 "," 3,745 "," 47,096 "," 3,344 ", 9.8 , 0.7 ,,,,,,,,,,,
215,MN,Minnesota,2," 511,914 "," 3,848 "," 247,867 "," 2,387 ", 48.4 , 0.3 ," 264,047 "," 2,314 ", 51.6 , 0.3 ," 503,107 "," 3,942 "," 27,606 "," 3,237 ", 5.5 , 0.6 ,,,,,,,,,,,
216,MN,Minnesota,3," 517,834 "," 7,590 "," 251,195 "," 4,822 ", 48.5 , 0.6 ," 266,639 "," 5,017 ", 51.5 , 0.6 ," 514,568 "," 7,677 "," 23,532 "," 2,833 ", 4.6 , 0.5 ,,,,,,,,,,,
217,MN,Minnesota,4," 510,862 "," 5,084 "," 243,687 "," 3,286 ", 47.7 , 0.4 ," 267,175 "," 3,008 ", 52.3 , 0.4 ," 496,836 "," 4,969 "," 46,437 "," 4,123 ", 9.3 , 0.8 ,,,,,,,,,,,
218,MN,Minnesota,5," 517,155 "," 6,617 "," 256,364 "," 4,401 ", 49.6 , 0.6 ," 260,791 "," 4,738 ", 50.4 , 0.6 ," 503,118 "," 6,872 "," 61,661 "," 4,573 ", 12.3 , 0.9 ,,,,,,,,,,,
219,MN,Minnesota,6," 525,551 "," 4,938 "," 264,594 "," 3,445 ", 50.3 , 0.4 ," 260,957 "," 3,062 ", 49.7 , 0.4 ," 515,433 "," 5,140 "," 32,509 "," 3,195 ", 6.3 , 0.6 ,,,,,,,,,,,
220,MN,Minnesota,7," 495,727 "," 2,489 "," 245,413 "," 2,072 ", 49.5 , 0.3 ," 250,314 "," 1,386 ", 50.5 , 0.3 ," 482,844 "," 2,772 "," 45,244 "," 2,582 ", 9.4 , 0.5 ,,,,,,,,,,,
221,MN,Minnesota,8," 527,541 "," 1,381 "," 266,984 "," 1,007 ", 50.6 , 0.2 ," 260,557 "," 1,158 ", 49.4 , 0.2 ," 512,566 "," 2,360 "," 58,844 "," 3,275 ", 11.5 , 0.6 ,,,,,,,,,,,
222,MS,Mississippi,1," 577,880 "," 2,748 "," 274,187 "," 2,315 ", 47.4 , 0.3 ," 303,693 "," 2,107 ", 52.6 , 0.3 ," 559,338 "," 3,469 "," 74,040 "," 5,443 ", 13.2 , 1.0 ,,,,,,,,,,,
223,MS,Mississippi,2," 523,479 "," 4,699 "," 246,408 "," 3,287 ", 47.1 , 0.4 ," 277,071 "," 2,728 ", 52.9 , 0.4 ," 496,061 "," 5,779 "," 101,273 "," 6,386 ", 20.4 , 1.3 ,,,,,,,,,,,
224,MS,Mississippi,3," 559,913 "," 5,338 "," 263,747 "," 3,977 ", 47.1 , 0.4 ," 296,166 "," 3,011 ", 52.9 , 0.4 ," 539,427 "," 6,012 "," 94,524 "," 6,462 ", 17.5 , 1.2 ,,,,,,,,,,,
225,MS,Mississippi,4," 579,386 "," 3,131 "," 278,636 "," 2,476 ", 48.1 , 0.3 ," 300,750 "," 2,421 ", 51.9 , 0.3 ," 560,746 "," 3,705 "," 97,084 "," 6,991 ", 17.3 , 1.3 ,,,,,,,,,,,
226,MO,Missouri,1," 549,361 "," 6,958 "," 253,168 "," 4,419 ", 46.1 , 0.5 ," 296,193 "," 4,298 ", 53.9 , 0.5 ," 534,195 "," 7,583 "," 86,150 "," 6,130 ", 16.1 , 1.2 ,,,,,,,,,,,
227,MO,Missouri,2," 575,828 "," 8,830 "," 272,618 "," 5,319 ", 47.3 , 0.5 ," 303,210 "," 5,451 ", 52.7 , 0.5 ," 565,960 "," 9,031 "," 24,873 "," 3,199 ", 4.4 , 0.6 ,,,,,,,,,,,
228,MO,Missouri,3," 602,748 "," 6,241 "," 295,360 "," 3,662 ", 49.0 , 0.3 ," 307,388 "," 3,557 ", 51.0 , 0.3 ," 585,685 "," 6,578 "," 43,942 "," 4,326 ", 7.5 , 0.7 ,,,,,,,,,,,
229,MO,Missouri,4," 584,925 "," 4,248 "," 289,078 "," 3,408 ", 49.4 , 0.4 ," 295,847 "," 2,917 ", 50.6 , 0.4 ," 553,519 "," 5,015 "," 79,363 "," 4,850 ", 14.3 , 0.9 ,,,,,,,,,,,
230,MO,Missouri,5," 573,775 "," 5,681 "," 274,276 "," 3,165 ", 47.8 , 0.3 ," 299,499 "," 3,463 ", 52.2 , 0.3 ," 563,867 "," 5,423 "," 62,939 "," 4,643 ", 11.2 , 0.8 ,,,,,,,,,,,
231,MO,Missouri,6," 583,457 "," 5,275 "," 287,409 "," 3,270 ", 49.3 , 0.3 ," 296,048 "," 3,212 ", 50.7 , 0.3 ," 558,571 "," 5,282 "," 50,539 "," 3,401 ", 9.0 , 0.6 ,,,,,,,,,,,
232,MO,Missouri,7," 595,559 "," 2,710 "," 287,998 "," 2,107 ", 48.4 , 0.2 ," 307,561 "," 1,844 ", 51.6 , 0.2 ," 578,418 "," 3,289 "," 81,695 "," 5,031 ", 14.1 , 0.9 ,,,,,,,,,,,
233,MO,Missouri,8," 567,717 "," 3,947 "," 280,877 "," 2,765 ", 49.5 , 0.3 ," 286,840 "," 2,525 ", 50.5 , 0.3 ," 545,199 "," 4,614 "," 87,592 "," 5,103 ", 16.1 , 0.9 ,,,,,,,,,,,
234,MT,Montana,At-large," 823,668 "," 2,462 "," 413,026 "," 2,760 ", 50.1 , 0.2 ," 410,642 "," 1,830 ", 49.9 , 0.2 ," 804,355 "," 2,455 "," 97,803 "," 5,705 ", 12.2 , 0.7 ,,,,,,,,,,,
235,NE,Nebraska,1," 473,676 "," 3,971 "," 236,555 "," 2,920 ", 49.9 , 0.3 ," 237,121 "," 2,192 ", 50.1 , 0.3 ," 457,270 "," 4,116 "," 45,705 "," 3,556 ", 10.0 , 0.8 ,,,,,,,,,,,
236,NE,Nebraska,2," 467,041 "," 4,132 "," 226,651 "," 2,588 ", 48.5 , 0.3 ," 240,390 "," 2,212 ", 51.5 , 0.3 ," 456,667 "," 4,259 "," 41,176 "," 3,498 ", 9.0 , 0.8 ,,,,,,,,,,,
237,NE,Nebraska,3," 439,543 "," 3,065 "," 216,125 "," 2,543 ", 49.2 , 0.4 ," 223,418 "," 1,963 ", 50.8 , 0.4 ," 424,327 "," 3,086 "," 43,757 "," 3,233 ", 10.3 , 0.8 ,,,,,,,,,,,
238,NV,Nevada,1," 418,811 "," 10,703 "," 211,011 "," 7,038 ", 50.4 , 0.9 ," 207,800 "," 6,024 ", 49.6 , 0.9 ," 412,668 "," 10,654 "," 75,734 "," 5,520 ", 18.4 , 1.2 ,,,,,,,,,,,
239,NV,Nevada,2," 531,489 "," 4,280 "," 268,234 "," 2,794 ", 50.5 , 0.4 ," 263,255 "," 3,246 ", 49.5 , 0.4 ," 521,800 "," 4,250 "," 45,749 "," 3,985 ", 8.8 , 0.8 ,,,,,,,,,,,
240,NV,Nevada,3," 607,915 "," 11,250 "," 298,190 "," 7,408 ", 49.1 , 0.8 ," 309,725 "," 7,157 ", 50.9 , 0.8 ," 606,083 "," 11,322 "," 42,769 "," 4,819 ", 7.1 , 0.8 ,,,,,,,,,,,
241,NV,Nevada,4," 516,951 "," 10,773 "," 258,915 "," 6,521 ", 50.1 , 0.7 ," 258,036 "," 6,307 ", 49.9 , 0.7 ," 505,533 "," 11,122 "," 55,887 "," 4,593 ", 11.1 , 0.9 ,,,,,,,,,,,
242,NH,New Hampshire,1," 540,224 "," 4,909 "," 265,533 "," 3,256 ", 49.2 , 0.4 ," 274,691 "," 3,269 ", 50.8 , 0.4 ," 523,141 "," 5,259 "," 35,655 "," 3,454 ", 6.8 , 0.7 ,,,,,,,,,,,
243,NH,New Hampshire,2," 529,588 "," 4,458 "," 260,293 "," 3,095 ", 49.2 , 0.4 ," 269,295 "," 3,082 ", 50.8 , 0.4 ," 510,009 "," 4,684 "," 33,260 "," 3,257 ", 6.5 , 0.6 ,,,,,,,,,,,
244,NJ,New Jersey,1," 542,034 "," 6,191 "," 258,989 "," 3,496 ", 47.8 , 0.4 ," 283,045 "," 4,006 ", 52.2 , 0.4 ," 533,571 "," 6,358 "," 53,128 "," 4,139 ", 10.0 , 0.7 ,,,,,,,,,,,
245,NJ,New Jersey,2," 531,339 "," 6,456 "," 257,404 "," 3,611 ", 48.4 , 0.4 ," 273,935 "," 4,223 ", 51.6 , 0.4 ," 513,349 "," 6,963 "," 49,849 "," 5,054 ", 9.7 , 1.0 ,,,,,,,,,,,
246,NJ,New Jersey,3," 570,276 "," 5,881 "," 276,793 "," 3,312 ", 48.5 , 0.3 ," 293,483 "," 3,670 ", 51.5 , 0.3 ," 558,203 "," 8,204 "," 30,679 "," 3,304 ", 5.5 , 0.6 ,,,,,,,,,,,
247,NJ,New Jersey,4," 539,643 "," 8,273 "," 253,208 "," 5,334 ", 46.9 , 0.5 ," 286,435 "," 4,559 ", 53.1 , 0.5 ," 533,840 "," 7,957 "," 31,194 "," 4,056 ", 5.8 , 0.7 ,,,,,,,,,,,
248,NJ,New Jersey,5," 527,932 "," 8,667 "," 252,797 "," 5,109 ", 47.9 , 0.5 ," 275,135 "," 5,262 ", 52.1 , 0.5 ," 517,601 "," 8,437 "," 22,025 "," 3,394 ", 4.3 , 0.7 ,,,,,,,,,,,
249,NJ,New Jersey,6," 502,463 "," 7,651 "," 247,252 "," 4,984 ", 49.2 , 0.6 ," 255,211 "," 4,984 ", 50.8 , 0.6 ," 475,444 "," 8,019 "," 37,453 "," 3,483 ", 7.9 , 0.7 ,,,,,,,,,,,
250,NJ,New Jersey,7," 527,076 "," 9,094 "," 254,674 "," 5,391 ", 48.3 , 0.5 ," 272,402 "," 5,375 ", 51.7 , 0.5 ," 520,070 "," 9,257 "," 20,223 "," 2,587 ", 3.9 , 0.5 ,,,,,,,,,,,
251,NJ,New Jersey,8," 425,604 "," 11,139 "," 207,269 "," 7,178 ", 48.7 , 1.0 ," 218,335 "," 6,677 ", 51.3 , 1.0 ," 420,513 "," 11,315 "," 47,592 "," 4,070 ", 11.3 , 1.0 ,,,,,,,,,,,
252,NJ,New Jersey,9," 481,499 "," 11,594 "," 230,505 "," 7,064 ", 47.9 , 0.7 ," 250,994 "," 6,395 ", 52.1 , 0.7 ," 479,380 "," 11,396 "," 49,046 "," 5,555 ", 10.2 , 1.2 ,,,,,,,,,,,
253,NJ,New Jersey,10," 496,051 "," 9,959 "," 234,506 "," 6,416 ", 47.3 , 0.7 ," 261,545 "," 5,641 ", 52.7 , 0.7 ," 480,735 "," 10,228 "," 65,422 "," 6,113 ", 13.6 , 1.2 ,,,,,,,,,,,
254,NJ,New Jersey,11," 548,734 "," 8,988 "," 261,914 "," 5,463 ", 47.7 , 0.5 ," 286,820 "," 5,346 ", 52.3 , 0.5 ," 536,031 "," 8,852 "," 21,125 "," 3,248 ", 3.9 , 0.6 ,,,,,,,,,,,
255,NJ,New Jersey,12," 505,683 "," 9,993 "," 242,465 "," 5,596 ", 47.9 , 0.7 ," 263,218 "," 6,460 ", 52.1 , 0.7 ," 489,002 "," 10,060 "," 36,428 "," 3,860 ", 7.4 , 0.8 ,,,,,,,,,,,
256,NM,New Mexico,1," 514,775 "," 6,996 "," 249,488 "," 4,447 ", 48.5 , 0.4 ," 265,287 "," 3,567 ", 51.5 , 0.4 ," 508,282 "," 7,490 "," 73,116 "," 5,462 ", 14.4 , 1.1 ,,,,,,,,,,,
257,NM,New Mexico,2," 484,702 "," 6,155 "," 239,241 "," 4,360 ", 49.4 , 0.5 ," 245,461 "," 3,523 ", 50.6 , 0.5 ," 467,832 "," 6,758 "," 84,825 "," 6,819 ", 18.1 , 1.4 ,,,,,,,,,,,
258,NM,New Mexico,3," 507,907 "," 5,741 "," 246,780 "," 3,806 ", 48.6 , 0.5 ," 261,127 "," 3,687 ", 51.4 , 0.5 ," 499,664 "," 6,149 "," 89,207 "," 4,764 ", 17.9 , 1.0 ,,,,,,,,,,,
259,NY,New York,1," 530,436 "," 8,854 "," 257,571 "," 5,857 ", 48.6 , 0.6 ," 272,865 "," 4,927 ", 51.4 , 0.6 ," 519,175 "," 9,092 "," 31,046 "," 3,783 ", 6.0 , 0.7 ,,,,,,,,,,,
260,NY,New York,2," 515,987 "," 10,089 "," 252,580 "," 6,716 ", 49.0 , 0.7 ," 263,407 "," 5,872 ", 51.0 , 0.7 ," 512,695 "," 9,995 "," 31,530 "," 3,951 ", 6.1 , 0.8 ,,,,,,,,,,,
261,NY,New York,3," 521,235 "," 9,204 "," 248,504 "," 6,072 ", 47.7 , 0.7 ," 272,731 "," 5,713 ", 52.3 , 0.7 ," 512,317 "," 8,948 "," 25,261 "," 3,714 ", 4.9 , 0.7 ,,,,,,,,,,,
262,NY,New York,4," 506,457 "," 8,321 "," 240,633 "," 5,110 ", 47.5 , 0.7 ," 265,824 "," 5,563 ", 52.5 , 0.7 ," 497,226 "," 8,644 "," 23,349 "," 3,387 ", 4.7 , 0.7 ,,,,,,,,,,,
263,NY,New York,5," 501,784 "," 12,659 "," 232,458 "," 7,387 ", 46.3 , 0.7 ," 269,326 "," 7,093 ", 53.7 , 0.7 ," 493,643 "," 12,675 "," 47,721 "," 5,173 ", 9.7 , 1.0 ,,,,,,,,,,,
264,NY,New York,6," 448,065 "," 12,825 "," 212,441 "," 6,998 ", 47.4 , 0.8 ," 235,624 "," 7,517 ", 52.6 , 0.8 ," 443,584 "," 13,050 "," 41,855 "," 4,167 ", 9.4 , 0.9 ,,,,,,,,,,,
265,NY,New York,7," 446,196 "," 14,230 "," 214,479 "," 8,862 ", 48.1 , 0.9 ," 231,717 "," 7,510 ", 51.9 , 0.9 ," 439,774 "," 13,083 "," 79,879 "," 6,384 ", 18.2 , 1.3 ,,,,,,,,,,,
266,NY,New York,8," 540,660 "," 13,211 "," 233,029 "," 7,243 ", 43.1 , 0.7 ," 307,631 "," 7,794 ", 56.9 , 0.7 ," 534,467 "," 12,725 "," 96,821 "," 6,611 ", 18.1 , 1.2 ,,,,,,,,,,,
267,NY,New York,9," 486,880 "," 12,651 "," 218,455 "," 7,896 ", 44.9 , 0.8 ," 268,425 "," 6,874 ", 55.1 , 0.8 ," 483,155 "," 12,728 "," 61,616 "," 5,004 ", 12.8 , 1.0 ,,,,,,,,,,,
268,NY,New York,10," 473,542 "," 10,788 "," 221,514 "," 7,383 ", 46.8 , 1.1 ," 252,028 "," 7,695 ", 53.2 , 1.1 ," 458,508 "," 10,613 "," 57,042 "," 5,508 ", 12.4 , 1.1 ,,,,,,,,,,,
269,NY,New York,11," 500,998 "," 8,100 "," 237,048 "," 5,064 ", 47.3 , 0.6 ," 263,950 "," 4,740 ", 52.7 , 0.6 ," 495,306 "," 8,017 "," 54,201 "," 5,648 ", 10.9 , 1.1 ,,,,,,,,,,,
270,NY,New York,12," 530,252 "," 14,243 "," 250,793 "," 8,883 ", 47.3 , 0.9 ," 279,459 "," 8,386 ", 52.7 , 0.9 ," 513,697 "," 14,449 "," 48,742 "," 5,603 ", 9.5 , 1.0 ,,,,,,,,,,,
271,NY,New York,13," 505,003 "," 13,783 "," 232,128 "," 8,527 ", 46.0 , 1.1 ," 272,875 "," 8,875 ", 54.0 , 1.1 ," 497,817 "," 13,503 "," 109,993 "," 8,000 ", 22.1 , 1.5 ,,,,,,,,,,,
272,NY,New York,14," 392,398 "," 12,236 "," 194,391 "," 7,578 ", 49.5 , 1.1 ," 198,007 "," 7,445 ", 50.5 , 1.1 ," 380,258 "," 12,061 "," 44,703 "," 4,775 ", 11.8 , 1.2 ,,,,,,,,,,,
273,NY,New York,15," 410,819 "," 11,144 "," 184,098 "," 6,922 ", 44.8 , 1.1 ," 226,721 "," 7,228 ", 55.2 , 1.1 ," 405,180 "," 11,520 "," 121,432 "," 7,082 ", 30.0 , 1.6 ,,,,,,,,,,,
274,NY,New York,16," 498,243 "," 10,607 "," 223,699 "," 6,847 ", 44.9 , 0.8 ," 274,544 "," 6,340 ", 55.1 , 0.8 ," 485,031 "," 10,732 "," 51,192 "," 5,831 ", 10.6 , 1.1 ,,,,,,,,,,,
275,NY,New York,17," 502,861 "," 6,893 "," 241,981 "," 5,055 ", 48.1 , 0.7 ," 260,880 "," 4,534 ", 51.9 , 0.7 ," 489,310 "," 6,882 "," 36,680 "," 3,789 ", 7.5 , 0.8 ,,,,,,,,,,,
276,NY,New York,18," 524,373 "," 5,240 "," 258,678 "," 3,446 ", 49.3 , 0.4 ," 265,695 "," 2,982 ", 50.7 , 0.4 ," 505,373 "," 5,624 "," 38,590 "," 3,818 ", 7.6 , 0.8 ,,,,,,,,,,,
277,NY,New York,19," 553,713 "," 5,607 "," 276,166 "," 3,405 ", 49.9 , 0.3 ," 277,547 "," 3,351 ", 50.1 , 0.3 ," 527,441 "," 6,107 "," 58,461 "," 4,544 ", 11.1 , 0.8 ,,,,,,,,,,,
278,NY,New York,20," 557,251 "," 5,438 "," 266,403 "," 3,404 ", 47.8 , 0.4 ," 290,848 "," 3,441 ", 52.2 , 0.4 ," 532,729 "," 5,768 "," 50,906 "," 4,569 ", 9.6 , 0.8 ,,,,,,,,,,,
279,NY,New York,21," 551,303 "," 4,192 "," 283,623 "," 2,631 ", 51.4 , 0.3 ," 267,680 "," 2,509 ", 48.6 , 0.3 ," 516,373 "," 4,562 "," 54,118 "," 3,733 ", 10.5 , 0.7 ,,,,,,,,,,,
280,NY,New York,22," 539,437 "," 3,753 "," 265,317 "," 2,167 ", 49.2 , 0.2 ," 274,120 "," 2,178 ", 50.8 , 0.2 ," 510,768 "," 4,683 "," 64,552 "," 4,986 ", 12.6 , 1.0 ,,,,,,,,,,,
281,NY,New York,23," 544,564 "," 3,340 "," 267,455 "," 2,699 ", 49.1 , 0.4 ," 277,109 "," 2,460 ", 50.9 , 0.4 ," 510,456 "," 4,410 "," 70,217 "," 5,023 ", 13.8 , 1.0 ,,,,,,,,,,,
282,NY,New York,24," 539,797 "," 2,939 "," 260,293 "," 2,116 ", 48.2 , 0.2 ," 279,504 "," 1,736 ", 51.8 , 0.2 ," 514,966 "," 4,606 "," 58,584 "," 4,685 ", 11.4 , 0.9 ,,,,,,,,,,,
283,NY,New York,25," 543,698 "," 4,648 "," 257,318 "," 2,497 ", 47.3 , 0.3 ," 286,380 "," 2,996 ", 52.7 , 0.3 ," 523,100 "," 4,899 "," 68,088 "," 4,719 ", 13.0 , 0.9 ,,,,,,,,,,,
284,NY,New York,26," 539,694 "," 5,187 "," 255,091 "," 3,873 ", 47.3 , 0.5 ," 284,603 "," 3,636 ", 52.7 , 0.5 ," 523,261 "," 5,448 "," 72,530 "," 4,865 ", 13.9 , 0.9 ,,,,,,,,,,,
285,NY,New York,27," 564,383 "," 5,939 "," 278,943 "," 4,875 ", 49.4 , 0.5 ," 285,440 "," 3,484 ", 50.6 , 0.5 ," 545,584 "," 5,277 "," 42,730 "," 4,147 ", 7.8 , 0.8 ,,,,,,,,,,,
286,NC,North Carolina,1," 566,173 "," 6,735 "," 262,291 "," 4,179 ", 46.3 , 0.5 ," 303,882 "," 4,387 ", 53.7 , 0.5 ," 536,378 "," 7,576 "," 89,085 "," 6,707 ", 16.6 , 1.2 ,,,,,,,,,,,
287,NC,North Carolina,2," 601,142 "," 7,863 "," 291,498 "," 5,030 ", 48.5 , 0.6 ," 309,644 "," 5,390 ", 51.5 , 0.6 ," 593,495 "," 7,698 "," 42,953 "," 5,590 ", 7.2 , 0.9 ,,,,,,,,,,,
288,NC,North Carolina,3," 579,504 "," 4,996 "," 293,180 "," 3,031 ", 50.6 , 0.4 ," 286,324 "," 3,771 ", 49.4 , 0.4 ," 545,792 "," 6,035 "," 72,185 "," 5,678 ", 13.2 , 1.0 ,,,,,,,,,,,
289,NC,North Carolina,4," 624,834 "," 7,413 "," 294,403 "," 5,145 ", 47.1 , 0.7 ," 330,431 "," 5,912 ", 52.9 , 0.7 ," 596,963 "," 7,777 "," 56,009 "," 5,389 ", 9.4 , 0.9 ,,,,,,,,,,,
290,NC,North Carolina,5," 572,721 "," 3,131 "," 271,575 "," 2,411 ", 47.4 , 0.3 ," 301,146 "," 1,958 ", 52.6 , 0.3 ," 550,670 "," 4,377 "," 76,313 "," 5,733 ", 13.9 , 1.0 ,,,,,,,,,,,
291,NC,North Carolina,6," 567,392 "," 5,676 "," 268,248 "," 3,916 ", 47.3 , 0.4 ," 299,144 "," 3,356 ", 52.7 , 0.4 ," 555,732 "," 5,562 "," 62,094 "," 5,762 ", 11.2 , 1.0 ,,,,,,,,,,,
292,NC,North Carolina,7," 613,510 "," 5,769 "," 291,864 "," 3,165 ", 47.6 , 0.3 ," 321,646 "," 3,527 ", 52.4 , 0.3 ," 598,995 "," 6,103 "," 81,576 "," 6,015 ", 13.6 , 1.0 ,,,,,,,,,,,
293,NC,North Carolina,8," 581,896 "," 5,618 "," 280,980 "," 3,975 ", 48.3 , 0.4 ," 300,916 "," 3,251 ", 51.7 , 0.4 ," 560,326 "," 5,896 "," 64,418 "," 4,460 ", 11.5 , 0.8 ,,,,,,,,,,,
294,NC,North Carolina,9," 561,804 "," 6,951 "," 267,655 "," 4,385 ", 47.6 , 0.4 ," 294,149 "," 3,980 ", 52.4 , 0.4 ," 548,599 "," 7,196 "," 56,464 "," 3,898 ", 10.3 , 0.7 ,,,,,,,,,,,
295,NC,North Carolina,10," 585,102 "," 4,892 "," 277,020 "," 3,342 ", 47.3 , 0.3 ," 308,082 "," 2,792 ", 52.7 , 0.3 ," 572,654 "," 5,024 "," 70,692 "," 6,384 ", 12.3 , 1.1 ,,,,,,,,,,,
296,NC,North Carolina,11," 604,505 "," 5,083 "," 289,081 "," 3,620 ", 47.8 , 0.4 ," 315,424 "," 3,408 ", 52.2 , 0.4 ," 591,536 "," 5,410 "," 74,390 "," 5,709 ", 12.6 , 1.0 ,,,,,,,,,,,
297,NC,North Carolina,12," 591,843 "," 7,234 "," 275,402 "," 4,765 ", 46.5 , 0.5 ," 316,441 "," 4,165 ", 53.5 , 0.5 ," 581,131 "," 7,669 "," 54,940 "," 5,101 ", 9.5 , 0.8 ,,,,,,,,,,,
298,NC,North Carolina,13," 579,274 "," 7,005 "," 271,691 "," 4,387 ", 46.9 , 0.4 ," 307,583 "," 4,163 ", 53.1 , 0.4 ," 560,122 "," 7,300 "," 65,082 "," 4,904 ", 11.6 , 0.8 ,,,,,,,,,,,
299,ND,North Dakota,At-large," 567,351 "," 3,196 "," 291,026 "," 2,449 ", 51.3 , 0.3 ," 276,325 "," 2,146 ", 48.7 , 0.3 ," 546,513 "," 3,199 "," 57,163 "," 4,106 ", 10.5 , 0.8 ,,,,,,,,,,,
300,OH,Ohio,1," 541,695 "," 5,990 "," 262,456 "," 4,675 ", 48.5 , 0.6 ," 279,239 "," 4,175 ", 51.5 , 0.6 ," 522,774 "," 6,243 "," 61,323 "," 4,170 ", 11.7 , 0.8 ,,,,,,,,,,,
301,OH,Ohio,2," 557,971 "," 6,728 "," 267,271 "," 5,218 ", 47.9 , 0.6 ," 290,700 "," 4,145 ", 52.1 , 0.6 ," 550,012 "," 6,891 "," 65,318 "," 4,923 ", 11.9 , 0.9 ,,,,,,,,,,,
302,OH,Ohio,3," 560,963 "," 8,952 "," 262,190 "," 5,831 ", 46.7 , 0.6 ," 298,773 "," 5,631 ", 53.3 , 0.6 ," 543,140 "," 9,357 "," 87,584 "," 6,728 ", 16.1 , 1.2 ,,,,,,,,,,,
303,OH,Ohio,4," 542,874 "," 4,816 "," 269,636 "," 2,954 ", 49.7 , 0.3 ," 273,238 "," 3,151 ", 50.3 , 0.3 ," 517,764 "," 4,921 "," 53,877 "," 4,187 ", 10.4 , 0.8 ,,,,,,,,,,,
304,OH,Ohio,5," 549,171 "," 4,850 "," 265,489 "," 3,309 ", 48.3 , 0.3 ," 283,682 "," 2,727 ", 51.7 , 0.3 ," 533,728 "," 5,196 "," 49,753 "," 3,496 ", 9.3 , 0.7 ,,,,,,,,,,,
305,OH,Ohio,6," 545,803 "," 4,800 "," 271,382 "," 2,846 ", 49.7 , 0.3 ," 274,421 "," 3,226 ", 50.3 , 0.3 ," 526,363 "," 4,910 "," 78,256 "," 5,421 ", 14.9 , 1.0 ,,,,,,,,,,,
306,OH,Ohio,7," 557,024 "," 7,057 "," 267,916 "," 3,924 ", 48.1 , 0.4 ," 289,108 "," 4,405 ", 51.9 , 0.4 ," 544,781 "," 7,134 "," 55,197 "," 4,619 ", 10.1 , 0.8 ,,,,,,,,,,,
307,OH,Ohio,8," 546,406 "," 2,927 "," 263,947 "," 2,017 ", 48.3 , 0.2 ," 282,459 "," 1,832 ", 51.7 , 0.2 ," 532,437 "," 3,308 "," 53,264 "," 4,018 ", 10.0 , 0.8 ,,,,,,,,,,,
